 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
29,鋼材,"147,469","1,283,517","30,208","238,560","27,173","235,463","11,980","102,192","8,067","82,743","1,177","10,739","104,104","932,026"
30,非鉄金属,"25,983","246,964","8,001","78,683","8,001","78,671","13,632","127,547","13,631","127,539",545,"5,875","3,805","34,859"
31,金属製品,"169,829","1,522,677","32,806","275,392","32,806","275,363","128,695","1,175,269","128,611","1,162,137","5,802","46,360","2,526","25,656"
32,鉄道車両,463,"3,088",339,892,339,892,124,"2,181",124,"2,171",-,15,-,-
33,完成自動車,"1,287,846","11,822,853","11,912","83,115","11,879","82,514","2,089","22,338","1,995","21,136","737,697","6,696,798","536,148","5,020,602"
34,その他輸送用車両,"14,537","112,000",376,"2,295",376,"2,220","12,694","86,104","12,073","78,413",645,"13,091",822,"10,510"
35,二輪自動車,"4,406","50,250",366,"5,636",366,"5,636","4,003","43,825","4,003","43,825",17,468,20,321
36,自動車部品,"258,437","2,156,957","153,735","1,313,697","153,735","1,313,697","97,321","763,939","97,299","763,590","2,750","25,226","4,631","54,095"
37,その他輸送機械,"43,932","510,211","4,133","37,167","4,133","37,165","23,869","294,723","23,869","286,468","7,420","79,016","8,510","99,305"
38,産業機械,"322,789","3,111,618","172,983","1,622,429","172,699","1,613,864","127,036","1,281,415","126,899","1,280,591","16,907","141,463","5,863","66,311"
39,電気機械,"343,589","3,292,004","66,882","622,835","66,853","621,747","271,588","2,616,962","271,280","2,614,746","4,067","37,404","1,052","14,803"
40,測量・光学・医療用機械,"55,928","499,546","21,834","188,250","21,109","180,245","30,576","289,696","29,881","288,987","1,720","10,834","1,798","10,766"
41,事務用機器,"18,626","202,477","2,401","28,942","2,401","28,942","12,041","122,662","12,041","122,662","4,104","50,018",80,855
42,その他機械,"5,567","48,115","1,086","9,293","1,086","9,293","2,046","20,916","2,046","20,916",950,"8,513","1,485","9,393"
化学工業品,,"1,247,324","11,825,638","215,736","1,992,655","215,736","1,992,547","314,180","3,067,241","309,608","3,029,540","47,467","427,129","669,941","6,338,613"
43,陶磁器,"11,390","126,095",705,"9,851",705,"9,850","10,616","115,606","10,616","115,606",69,638,-,-
44,セメント,"265,634","2,340,211",68,"3,151",68,"3,151",900,"10,755",900,"10,755","3,967","24,042","260,699","2,302,263"
45,ガラス類,"26,882","254,551","10,329","71,248","10,329","71,248","14,722","167,927","14,722","167,922","1,645","14,757",186,619
46,窯業品,"32,606","367,198","9,487","127,929","9,487","127,926","18,002","189,440","18,002","189,435","2,198","24,257","2,919","25,572"
47,重油,"46,171","412,230",-,-,-,-,-,-,-,-,"22,477","199,012","23,694","213,218"
48,揮発油,101,705,-,-,-,-,-,-,-,-,101,705,-,-
49,その他の石油,"374,156","3,709,364","2,870","18,126","2,870","18,126","1,890","17,025","1,890","17,025","1,984","16,976","367,412","3,657,237"
50,LNG/液化天然ガス,30,372,-,-,-,-,30,352,30,352,-,-,-,20
51,LPG/液化石油ガス,516,"5,617",-,-,-,-,-,-,-,-,516,"5,512",-,105
52,その他石油製品,"4,956","49,364","1,408","14,073","1,408","14,073","1,851","16,512","1,851","16,512",672,"6,194","1,025","12,585"
53,コークス,"1,527","68,157",-,-,-,-,"1,527","44,270",870,"10,538",-,"3,428",-,"20,459"
54,石炭製品,765,"4,731",690,"4,232",690,"4,232",75,499,75,499,-,-,-,-
55,化学薬品,"96,426","865,310","23,838","239,271","23,838","239,271","60,527","530,042","56,619","526,134","4,532","39,517","7,529","56,480"
56,化学肥料,"5,455","52,308",170,"1,889",170,"1,889","4,935","43,232","4,935","43,232",165,"3,512",185,"3,675"
57,その他化学工業品,"380,709","3,569,425","166,171","1,502,885","166,171","1,502,781","199,105","1,931,581","199,098","1,931,530","9,141","88,579","6,292","46,380"
軽工業品,,"710,878","6,862,645","57,631","535,287","57,619","535,205","398,107","4,008,520","397,802","3,994,327","78,417","695,565","176,723","1,623,273"
58,紙・パルプ,"237,371","2,197,037","21,536","221,183","21,525","221,105","54,528","596,217","54,249","582,190","29,246","175,080","132,061","1,204,557"
59,糸及び紡績半製品,"4,673","50,099",183,"3,070",183,"3,070","4,490","44,609","4,490","44,609",-,371,-,"2,049"
60,その他繊維工業品,"30,709","318,527","5,501","50,879","5,500","50,875","25,118","265,776","25,118","265,761",30,"1,530",60,342
61,砂糖,"12,525","121,795",29,274,29,274,"4,521","44,997","4,521","44,997","1,960","18,542","6,015","57,982"
62,製造食品,"277,224","2,564,147","25,308","212,514","25,308","212,514","226,174","2,100,411","226,148","2,100,339","16,550","166,301","9,192","84,921"
63,飲料,"94,270","1,016,875","4,674","42,673","4,674","42,673","51,826","595,351","51,826","595,272","22,095","245,101","15,675","133,750"
64,水,"19,596","222,894",335,"4,064",335,"4,064","11,682","150,188","11,682","150,188","6,119","51,785","1,460","16,857"
65,たばこ,"6,384","78,633",61,188,61,188,"5,093","64,860","5,093","64,860",465,"7,535",765,"6,050"
66,その他食料工業品,"28,126","292,638",4,442,4,442,"14,675","146,111","14,675","146,111","1,952","29,320","11,495","116,765"
雑工業品,,"1,128,424","9,969,428","98,056","968,110","98,056","968,072","991,934","8,636,521","991,924","8,636,097","30,886","296,432","7,548","68,365"
67,がん具,"80,349","564,940","2,511","17,677","2,511","17,677","77,828","547,115","77,828","547,115",10,148,-,-
68,衣服・身廻品・はきもの,"493,236","4,042,578","12,254","128,583","12,254","128,565","480,452","3,899,887","480,452","3,899,884",515,"11,846",15,"2,262"
69,文房具・運動娯楽用品・楽器,"68,190","692,647","11,824","107,475","11,824","107,471","56,073","573,077","56,066","572,826",293,"9,595",-,"2,500"
70,家具装備品,"185,905","1,799,909","11,398","88,976","11,398","88,976","172,102","1,682,510","172,099","1,682,480","1,425","18,784",980,"9,639"
71,その他日用品,"60,496","658,758","9,103","111,690","9,103","111,690","29,513","353,087","29,513","353,087","18,917","169,404","2,963","24,577"
72,ゴム製品,"66,274","695,710","26,223","291,589","26,223","291,589","37,240","378,294","37,240","378,293","1,641","17,648","1,170","8,179"
73,木製品,"114,677","980,532",926,"7,344",926,"7,328","111,914","952,854","111,914","952,774","1,787","19,860",50,474
74,その他製造工業品,"59,297","534,354","23,817","214,776","23,817","214,776","26,812","249,697","26,812","249,638","6,298","49,147","2,370","20,734"
特殊品,,"1,088,927","11,009,872","241,300","2,689,692","205,307","2,283,709","191,399","1,882,107","185,135","1,798,100","425,180","4,315,191","231,048","2,122,882"
75,金属くず,"53,933","546,823","42,959","451,815","8,064","57,456","6,498","58,609","6,498","58,437","2,612","18,816","1,864","17,583"
76,再利用資材,"188,504","2,151,062","160,230","1,835,473","160,230","1,835,473","4,457","40,083","4,457","40,083","21,991","259,343","1,826","16,163"
77,動植物性製造飼肥料,"93,789","931,908","1,823","20,534","1,823","20,534","88,202","851,997","88,202","851,997","3,409","55,722",355,"3,655"
78,廃棄物,659,"12,176",-,-,-,-,-,-,-,-,295,"3,630",364,"8,546"
79,廃土砂,"128,119","1,391,272",-,-,-,-,-,-,-,-,"128,118","1,390,977",1,295
80,輸送用容器,"132,596","1,297,711","20,411","170,634","19,313","159,010","86,341","871,969","80,077","788,134","9,122","89,673","16,722","165,435"
81,取合せ品,"491,327","4,678,920","15,877","211,236","15,877","211,236","5,901","59,449","5,901","59,449","259,633","2,497,030","209,916","1,911,205"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
