 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,32,292,32,292,
,総トン数,,"404,352","3,689,712","404,352","3,689,712",
取扱貨物,計,計,"986,785","9,086,830","986,785","9,086,830",
,,出荷,"531,645","4,763,440","531,645","4,763,440",
,,入荷,"455,140","4,323,390","455,140","4,323,390",
取　扱　台　数,バ　ス,計,19,133,19,133,
,,出荷,8,64,8,64,
,,入荷,11,69,11,69,
,トラック,計,"8,947","81,747","8,947","81,747",
,,出荷,"4,850","43,137","4,850","43,137",
,,入荷,"4,097","38,610","4,097","38,610",
,乗用車,計,"5,162","52,362","5,162","52,362",
,,出荷,"3,333","31,670","3,333","31,670",
,,入荷,"1,829","20,692","1,829","20,692",
乗降人員,計,,"3,201","30,451","3,201","30,451",
,乗船,,"1,678","15,239","1,678","15,239",
,降船,,"1,523","15,212","1,523","15,212",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
