 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,135","15,718,971","20,142","151,158,240",712,"13,076,512","6,860","127,298,165"
外航計,451,"11,479,796","4,540","112,538,562",417,"10,961,067","4,235","107,588,529"
外航定期計,418,"10,976,567","4,242","107,707,079",417,"10,961,067","4,235","107,588,529"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),51,"3,289,724",478,"30,326,501",51,"3,289,724",478,"30,326,501"
北米東岸(カリビア海含む),8,"635,247",87,"6,790,701",8,"635,247",87,"6,790,701"
北欧・地中海,7,"638,529",53,"5,007,086",7,"638,529",52,"4,992,924"
南米西岸,3,"393,397",39,"3,767,712",3,"393,397",39,"3,767,712"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,7,"304,354",106,"3,474,973",7,"304,354",106,"3,474,973"
印パ･ペルシャ･ベンガル,-,-,16,"785,499",-,-,16,"785,499"
東南アジア,149,"3,647,964","1,429","34,647,465",148,"3,632,464","1,424","34,594,994"
台湾,-,-,-,-,-,-,-,-
韓国,49,"439,455",458,"4,135,029",49,"439,455",458,"4,135,029"
中国(香港含む),144,"1,627,897","1,576","18,772,113",144,"1,627,897","1,575","18,720,196"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,33,"503,229",298,"4,831,483",-,-,-,-
内航計,"1,684","4,239,175","15,602","38,619,678",295,"2,115,445","2,625","19,709,636"
内航定期計,563,"2,827,923","5,333","26,222,132",278,"2,070,049","2,481","19,177,560"
北海道,114,"1,212,409",996,"10,991,775",114,"1,212,409",996,"10,991,775"
東北,54,"40,250",503,"365,963",51,"38,003",467,"338,999"
関東,104,"31,139",950,"363,218",-,-,-,-
伊豆諸島,146,"320,136","1,571","2,962,431",-,-,-,-
中部,29,"32,101",221,"272,789",29,"32,101",218,"270,542"
近畿,10,"7,490",89,"66,661",10,"7,490",89,"66,661"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,83,"941,055",770,"8,735,657",51,"536,703",478,"5,045,945"
沖縄,23,"243,343",233,"2,463,638",23,"243,343",233,"2,463,638"
内航不定期,"1,121","1,411,252","10,269","12,397,546",17,"45,396",144,"532,076"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
