< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,産業機械,その他化学工業品,再利用資材,自動車部品,電気機械
,"1,103,741",100.0%,"172,699","166,171","160,230","153,735","66,853"
,111.2%,,111.7%,106.9%,104.7%,143.3%,115.7%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,その他化学工業品,電気機械,再利用資材
,"214,834",19.5%,"81,166","42,703","12,569","11,625","9,853"
,130.4%,,161.4%,108.5%,121.3%,104.9%,392.1%
北米東岸(カリビア海含む),,,産業機械,自動車部品,その他化学工業品,電気機械,紙・パ　ル　プ
,"61,623",5.6%,"21,253","13,782","4,651","3,486","3,297"
,127.4%,,142.3%,189.6%,77.0%,110.5%,72.8%
北欧・地中海,,,産業機械,その他化学工業品,ゴム製品,電気機械,自動車部品
,"123,246",11.2%,"31,914","24,975","9,606","9,221","8,607"
,129.7%,,108.0%,203.6%,172.1%,164.4%,113.9%
南米西岸,,,再利用資材,その他化学工業品,ゴム製品,完成自動車,産業機械
,"3,759",0.3%,"2,160",792,166,164,145
,162.8%,,1479.5%,230.9%,-,-,73.2%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,産業機械,その他化学工業品,衣服・身廻品・はきもの,その他製造工業品,自動車部品
,"6,372",0.6%,"2,003","1,350",405,403,376
,209.1%,,744.6%,179.3%,326.6%,4477.8%,1016.2%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"464,349",42.1%,"75,839","70,142","50,639","39,224","29,910"
,119.6%,,125.4%,80.8%,154.4%,118.0%,167.0%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,電気機械,その他製造工業品
,"49,443",4.5%,"13,259","7,913","5,565","2,742","2,184"
,107.8%,,72.4%,126.4%,164.3%,74.5%,201.5%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,自動車部品,電気機械
,"180,115",16.3%,"59,356","38,082","18,477","10,084","9,800"
,103.7%,,155.2%,93.2%,92.5%,196.0%,125.9%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
