,(2)海上出入貨物,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,（単位　：　トン）,,
,,平成30年(2018年),,,,平成29年(2017年),,,,,
,,当月,,,１月以降累計,当月,,,１月以降累計,,
,,計,出貨,入貨,,計,出貨,入貨,,,
,総数 ,"8,045,082","2,540,136","5,504,946","75,852,421","7,294,218","2,334,489","4,959,729","74,572,070",,
,,110.3%,108.8%,111.0%,101.7%,,,,,,
,外貿貨物,"4,343,787","1,143,852","3,199,935","41,265,449","4,038,989","1,065,038","2,973,951","41,139,165",,
,,107.5%,107.4%,107.6%,100.3%,,,,,,
,（うちコンテナ貨物）,"4,182,707","1,103,741","3,078,966","39,682,954","3,850,649","992,971","2,857,678","39,614,620",,
,,108.6%,111.2%,107.7%,100.2%,,,,,,
,内貿貨物,"3,701,295","1,396,284","2,305,011","34,586,972","3,255,229","1,269,451","1,985,778","33,432,905",,
,,113.7%,110.0%,116.1%,103.5%,,,,,,
,(注）％表示は対前年同月比,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
