 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"319,480","122,158","3,057,243","1,145,708","95,530","119,568","930,780","1,117,612","223,950","2,590","2,126,463","28,096"
,107.3%,114.1%,100.7%,104.2%,104.3%,114.2%,98.1%,104.4%,108.6%,112.4%,101.9%,94.7%
外航計,"295,851","98,814","2,824,441","926,208","84,005","97,900","806,046","916,182","211,846",914,"2,018,395","10,026"
,108.3%,115.3%,101.0%,103.8%,108.7%,115.0%,98.9%,104.1%,108.2%,156.5%,101.9%,82.7%
外航定期計,"295,851","98,814","2,824,441","926,208","84,005","97,900","806,046","916,182","211,846",914,"2,018,395","10,026"
,108.3%,115.3%,101.0%,103.8%,108.7%,115.0%,98.9%,104.1%,108.2%,156.5%,101.9%,82.7%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"44,645","15,335","401,694","143,118","16,414","14,883","146,730","140,601","28,231",452,"254,964","2,517"
,108.8%,118.9%,98.6%,103.2%,117.2%,116.8%,92.6%,105.0%,104.4%,284.3%,102.4%,52.6%
北米東岸(カリビア海含む),"8,853","1,431","106,578","19,994","5,113","1,415","46,318","19,724","3,740",16,"60,260",270
,86.3%,66.9%,92.2%,90.2%,104.5%,66.2%,81.7%,89.3%,69.7%,400.0%,102.3%,364.9%
北欧・地中海,"20,204","2,032","185,829","19,305","9,314","2,011","83,145","18,930","10,890",21,"102,684",375
,116.5%,319.0%,106.6%,90.6%,128.0%,331.8%,109.9%,90.3%,108.2%,67.7%,104.0%,113.6%
南米西岸,"2,136","1,632","33,004","10,498",320,"1,632","1,455","9,289","1,816",-,"31,549","1,209"
,47.9%,153.2%,80.0%,100.6%,149.5%,157.1%,103.0%,92.0%,42.8%,-,79.1%,357.7%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
