 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"8,045,082 ","75,852,421 ","4,343,787 ","1,143,852 ","3,199,935 ","41,265,449 ","11,050,922 ","30,214,527 ","3,701,295 ","1,396,284 ","2,305,011 ","34,586,972 ","13,182,095 ","21,404,877 "
公共計,"3,799,649 ","35,174,049 ","1,272,170 ","231,087 ","1,041,083 ","11,870,634 ","2,274,346 ","9,596,288 ","2,527,479 ","1,287,678 ","1,239,801 ","23,303,415 ","11,947,593 ","11,355,822 "
ドルフィン,"9,600 ","63,129 ",-,-,-,-,-,-,"9,600 ","9,600 ",-,"63,129 ","63,129 ",-
芝浦ふ頭,"67,263 ","647,494 ",-,-,-,-,-,-,"67,263 ","1,806 ","65,457 ","647,494 ","17,527 ","629,967 "
芝浦物揚場,"8,346 ","75,539 ",-,-,-,-,-,-,"8,346 ","6,380 ","1,966 ","75,539 ","52,228 ","23,311 "
日の出ふ頭,"3,540 ","32,770 ",-,-,-,-,-,-,"3,540 ",-,"3,540 ","32,770 ",610 ,"32,160 "
竹芝ふ頭,"7,199 ","68,371 ",-,-,-,-,-,-,"7,199 ","4,976 ","2,223 ","68,371 ","45,688 ","22,683 "
品川岸壁,"674,324 ","6,571,259 ","370,124 ","82,657 ","287,467 ","3,672,197 ","836,902 ","2,835,295 ","304,200 ","180,042 ","124,158 ","2,899,062 ","1,736,005 ","1,163,057 "
 品川コンテナ,"367,257 ","3,589,170 ","367,257 ","82,447 ","284,810 ","3,589,103 ","822,949 ","2,766,154 ",-,-,-,67 ,7 ,60 
 品川外貿,"2,867 ","83,094 ","2,867 ",210 ,"2,657 ","83,094 ","13,953 ","69,141 ",-,-,-,-,-,-
 品川内貿,"304,200 ","2,898,995 ",-,-,-,-,-,-,"304,200 ","180,042 ","124,158 ","2,898,995 ","1,735,998 ","1,162,997 "
月島ふ頭,"1,904 ","14,309 ",-,-,-,-,-,-,"1,904 ",982 ,922 ,"14,309 ","6,324 ","7,985 "
10号西岸壁,"581,696 ","5,260,530 ",-,-,-,-,-,-,"581,696 ","339,842 ","241,854 ","5,260,530 ","3,073,712 ","2,186,818 "
10号東岸壁,"39,795 ","316,910 ",-,-,-,-,-,-,"39,795 ",165 ,"39,630 ","316,910 ","1,181 ","315,729 "
東京港フェリーふ頭,"986,785 ","9,086,830 ",-,-,-,-,-,-,"986,785 ","531,645 ","455,140 ","9,086,830 ","4,763,440 ","4,323,390 "
辰巳ふ頭,"37,705 ","311,826 ",-,-,-,-,-,-,"37,705 ","15,720 ","21,985 ","311,826 ","127,674 ","184,152 "
青海コンテナふ頭（公共）,"843,439 ","7,746,181 ","829,909 ","148,430 ","681,479 ","7,610,568 ","1,436,426 ","6,174,142 ","13,530 ","6,610 ","6,920 ","135,613 ","84,039 ","51,574 "
大井水産物ふ頭,"1,538 ","4,792 ","1,438 ",-,"1,438 ","4,489 ","1,018 ","3,471 ",100 ,100 ,-,303 ,160 ,143 
大井食品ふ頭（OL）,"38,068 ","266,778 ","24,822 ",-,"24,822 ","209,164 ",-,"209,164 ","13,246 ",-,"13,246 ","57,614 ",30 ,"57,584 "
大井食品ふ頭（OM）,"10,319 ","103,586 ","10,319 ",-,"10,319 ","103,586 ",-,"103,586 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"13,932 ",-,-,-,"13,932 ",-,"13,932 ",-,-,-,-,-,-
若洲内貿ふ頭,"64,574 ","539,126 ",-,-,-,-,-,-,"64,574 ","43,850 ","20,724 ","539,126 ","386,918 ","152,208 "
15号地木材ふ頭,"6,716 ","80,379 ","6,388 ",-,"6,388 ","76,373 ",-,"76,373 ",328 ,328 ,-,"4,006 ","4,006 ",-
若洲建材ふ頭,"63,138 ","525,307 ",-,-,-,-,-,-,"63,138 ","7,233 ","55,905 ","525,307 ","30,071 ","495,236 "
大井建材ふ頭,"142,617 ","1,280,830 ",-,-,-,-,-,-,"142,617 ",-,"142,617 ","1,280,830 ","1,800 ","1,279,030 "
城南島建設発生土ふ頭,"58,904 ","922,984 ",-,-,-,-,-,-,"58,904 ","58,904 ",-,"922,984 ","922,984 ",-
中央防波堤内側ばら物ふ頭,"29,170 ","216,695 ","29,170 ",-,"29,170 ","180,325 ",-,"180,325 ",-,-,-,"36,370 ","5,688 ","30,682 "
中央防波堤内側建設発生土ふ頭,"32,053 ","208,826 ",-,-,-,-,-,-,"32,053 ","32,053 ",-,"208,826 ","208,826 ",-
中央防波堤内側内貿ふ頭,"90,956 ","813,916 ",-,-,-,-,-,-,"90,956 ","47,442 ","43,514 ","813,916 ","415,553 ","398,363 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,968,313 ","28,627,662 ","2,858,051 ","869,967 ","1,988,084 ","27,304,781 ","8,351,921 ","18,952,860 ","110,262 ","44,091 ","66,171 ","1,322,881 ","655,221 ","667,660 "
青海コンテナふ頭(埠頭㈱),"621,947 ","5,962,421 ","614,697 ","129,822 ","484,875 ","5,867,595 ","1,265,381 ","4,602,214 ","7,250 ","7,250 ",-,"94,826 ","87,268 ","7,558 "
お台場ライナーふ頭,"74,108 ","760,056 ","58,971 ","38,629 ","20,342 ","606,146 ","420,484 ","185,662 ","15,137 ","1,326 ","13,811 ","153,910 ","14,680 ","139,230 "
大井コンテナふ頭,"2,272,258 ","21,905,185 ","2,184,383 ","701,516 ","1,482,867 ","20,831,040 ","6,666,056 ","14,164,984 ","87,875 ","35,515 ","52,360 ","1,074,145 ","553,273 ","520,872 "
民間計,"1,277,120 ","12,050,710 ","213,566 ","42,798 ","170,768 ","2,090,034 ","424,655 ","1,665,379 ","1,063,554 ","64,515 ","999,039 ","9,960,676 ","579,281 ","9,381,395 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
