"所管","町丁目","A～S全産業 事業所数","A～S全産業 従業者数[人]","A～R全産業（S公務を除く） 事業所数","A～R全産業（S公務を除く） 従業者数[人]","A農業，林業 事業所数","A農業，林業 従業者数[人]","B漁業 事業所数","B漁業 従業者数[人]","C鉱業，採石業，砂利採取業 事業所数","C鉱業，採石業，砂利採取業 従業者数[人]","D建設業 事業所数","D建設業 従業者数[人]","E製造業 事業所数","E製造業 従業者数[人]","F電気・ガス・熱供給・水道業 事業所数","F電気・ガス・熱供給・水道業 従業者数[人]","G情報通信業 事業所数","G情報通信業 従業者数[人]","H運輸業，郵便業 事業所数","H運輸業，郵便業 従業者数[人]","I卸売業，小売業 事業所数","I卸売業，小売業 従業者数[人]","J金融業，保険業 事業所数","J金融業，保険業 従業者数[人]","K不動産業，物品賃貸業 事業所数","K不動産業，物品賃貸業 従業者数[人]","L学術研究，専門・技術サービス業 事業所数","L学術研究，専門・技術サービス業従業者数[人]","M宿泊業，飲食サービス業 事業所数","M宿泊業，飲食サービス業 従業者数[人]","N生活関連サービス業，娯楽業 事業所数","N生活関連サービス業，娯楽業 従業者数[人]","O教育，学習支援業 事業所数","O教育，学習支援業 従業者数[人]","P医療，福祉 事業所数","P医療，福祉 従業者数[人]","Q複合サービス事業 事業所数","Q複合サービス事業 従業者数[人]","Rサービス業(他に分類されない) 事業所数","Rサービス業(他に分類されない) 従業者数[人]","S公務（他に分類されるもの除く）事業所数","S公務（他に分類されるもの除く）従業者数[人]"
"芝地区総合支所","芝１丁目","239","5488","239","5488","-","-","-","-","-","-","16","288","14","79","-","-","26","883","10","234","58","1914","8","215","17","153","28","175","13","82","8","321","2","96","4","119","1","5","34","924","-","-"
"芝地区総合支所","芝２丁目","647","16392","647","16392","2","7","-","-","-","-","36","3218","38","487","-","-","78","2082","18","320","167","3946","24","516","54","2143","49","403","50","391","19","133","8","429","22","636","-","-","82","1681","-","-"
"芝地区総合支所","芝３丁目","540","17490","540","17490","-","-","-","-","-","-","22","840","32","386","-","-","68","3177","11","246","133","5413","17","1424","37","1269","57","578","52","405","21","220","10","145","20","170","2","27","58","3190","-","-"
"芝地区総合支所","芝４丁目","402","11050","402","11050","1","35","-","-","-","-","31","1489","23","587","-","-","40","1398","8","67","103","3997","12","551","28","296","47","617","35","292","21","159","2","78","8","58","1","10","42","1416","-","-"
"芝地区総合支所","芝５丁目","1058","30640","1056","30220","-","-","-","-","-","-","31","1124","40","10090","-","-","89","3465","25","699","181","5676","33","1034","76","1644","105","704","242","2689","51","352","22","257","57","495","2","17","102","1974","2","420"
"芝地区総合支所","海岸１丁目","391","22759","389","22745","-","-","-","-","-","-","12","398","15","1156","6","4173","36","5907","16","832","70","2948","15","3487","20","115","45","578","55","1069","15","193","3","500","16","148","1","6","64","1235","2","14"
"芝地区総合支所","東新橋１丁目","447","48748","447","48748","-","-","-","-","-","-","5","93","15","5334","2","83","63","18414","23","3312","75","8789","16","496","12","50","32","7456","102","2896","19","162","8","62","27","318","2","13","46","1270","-","-"
"芝地区総合支所","東新橋２丁目","282","8106","282","8106","-","-","-","-","-","-","5","188","12","332","-","-","51","1033","8","257","54","2455","18","360","23","237","43","1263","18","1339","5","24","-","-","6","39","-","-","39","579","-","-"
"芝地区総合支所","新橋１丁目","460","7662","459","7660","1","-","-","-","-","-","2","151","6","37","-","-","17","471","14","390","74","1152","41","1111","39","309","51","634","83","1398","26","377","10","76","36","227","1","16","58","1311","1","2"
"芝地区総合支所","新橋２丁目","1162","13453","1161","13449","-","-","-","-","1","4","8","106","15","107","-","-","41","507","23","610","197","2045","18","514","70","473","89","654","425","3617","97","1163","13","57","83","1052","1","10","80","2530","1","4"
"芝地区総合支所","新橋３丁目","657","6137","657","6137","-","-","-","-","-","-","12","105","17","186","-","-","39","1337","21","210","68","442","4","42","42","328","44","280","313","2088","34","555","6","108","26","140","-","-","31","316","-","-"
"芝地区総合支所","新橋４丁目","461","5520","461","5520","1","14","-","-","-","-","26","280","12","156","1","3","19","786","19","195","90","1220","8","329","32","183","43","433","158","843","14","77","4","37","9","48","1","10","24","906","-","-"
"芝地区総合支所","新橋５丁目","710","11043","710","11043","-","-","-","-","1","1","41","493","40","1445","-","-","83","1571","30","1248","160","2423","22","208","42","372","83","454","67","602","32","217","5","17","28","185","-","-","76","1807","-","-"
"芝地区総合支所","新橋６丁目","429","12173","425","11155","-","-","-","-","-","-","26","177","24","520","-","-","47","2944","19","719","94","3820","10","293","40","321","53","690","33","282","11","38","1","32","15","636","1","2","51","681","4","1018"
"芝地区総合支所","西新橋１丁目","1070","16221","1067","16207","-","-","-","-","3","190","9","46","22","190","4","121","49","1572","35","595","141","4607","27","519","81","662","379","2643","115","740","30","635","5","43","30","284","2","35","135","3325","3","14"
"芝地区総合支所","西新橋２丁目","636","13355","635","13353","-","-","-","-","-","-","19","281","27","2134","-","-","49","1535","25","620","118","2117","14","277","77","1331","147","1341","55","358","22","173","3","25","16","234","-","-","63","2927","1","2"
"芝地区総合支所","西新橋３丁目","462","12874","462","12874","-","-","-","-","-","-","28","882","20","346","-","-","46","726","18","1755","111","2926","13","351","31","388","70","503","34","309","20","212","9","590","16","2974","1","1","45","911","-","-"
"芝地区総合支所","三田１丁目","218","11113","218","11113","-","-","-","-","-","-","9","107","15","543","1","21","19","3302","4","126","57","1229","5","1621","13","236","17","217","14","310","6","147","6","142","18","2344","1","8","33","760","-","-"
"芝地区総合支所","三田２丁目","272","15085","270","15047","-","-","-","-","-","-","6","45","6","22","2","111","35","533","8","191","60","409","3","10","29","115","45","240","20","704","6","68","7","11411","11","126","-","-","32","1062","2","38"
"芝地区総合支所","三田３丁目","493","18887","493","18887","1","4","-","-","-","-","22","2458","26","1014","-","-","46","4263","21","644","138","4217","11","557","30","271","56","1242","33","499","19","874","12","214","19","180","1","414","58","2036","-","-"
"芝地区総合支所","浜松町１丁目","603","9438","603","9438","1","3","-","-","-","-","28","608","43","706","-","-","59","1494","22","333","151","2352","5","73","44","302","54","406","71","759","20","390","11","70","21","416","-","-","73","1526","-","-"
"芝地区総合支所","浜松町２丁目","658","18595","658","18595","-","-","-","-","1","1","31","728","23","654","-","-","52","1320","33","4641","154","2965","14","529","41","1751","57","1151","123","1418","31","503","3","37","31","181","2","18","62","2698","-","-"
"芝地区総合支所","芝大門１丁目","556","11130","555","10934","-","-","1","1","-","-","20","572","19","1564","1","11","47","2288","23","590","160","2425","8","97","42","416","65","669","60","377","21","139","3","9","20","551","1","8","64","1217","1","196"
"芝地区総合支所","芝大門２丁目","540","7647","540","7647","-","-","-","-","-","-","27","329","25","268","1","32","37","876","19","209","132","2644","7","182","56","205","63","525","75","769","19","117","6","27","21","186","2","11","50","1267","-","-"
"芝地区総合支所","芝公園１丁目","141","3548","134","2346","1","15","-","-","-","-","1","22","5","99","-","-","16","200","9","162","34","985","3","53","8","79","16","215","11","237","4","7","-","-","2","9","1","7","23","256","7","1202"
"芝地区総合支所","芝公園２丁目","279","11094","279","11094","-","-","-","-","-","-","15","477","17","226","3","349","14","1421","25","1323","72","2747","4","150","21","562","28","668","22","316","6","674","2","19","11","234","-","-","39","1928","-","-"
"芝地区総合支所","芝公園３丁目","169","3145","169","3145","-","-","-","-","-","-","-","-","4","300","-","-","7","96","3","120","29","454","2","69","6","43","18","203","7","499","1","80","7","335","8","124","1","6","76","816","-","-"
"芝地区総合支所","芝公園４丁目","76","3988","76","3988","-","-","-","-","-","-","-","-","-","-","-","-","8","1790","2","18","20","95","-","-","6","349","2","9","18","1477","10","62","2","20","-","-","-","-","8","168","-","-"
"芝地区総合支所","虎ノ門１丁目","926","20133","924","20102","-","-","-","-","-","-","17","1345","27","381","2","8","59","1891","19","385","123","2218","43","1207","69","3510","244","4418","115","1063","24","166","12","160","43","356","1","16","126","2978","2","31"
"芝地区総合支所","虎ノ門２丁目","466","16798","464","16585","1","2","-","-","1","12","7","268","10","1718","6","83","42","2407","13","1299","98","3487","19","700","25","587","83","685","48","1574","12","139","1","4","20","2129","1","6","77","1485","2","213"
"芝地区総合支所","虎ノ門３丁目","436","8681","435","8576","-","-","-","-","-","-","12","300","13","156","-","-","22","503","7","106","85","1831","22","502","32","754","103","1449","34","297","11","188","5","32","9","43","1","6","79","2409","1","105"
"芝地区総合支所","虎ノ門４丁目","366","14728","365","14691","-","-","-","-","-","-","3","12","10","919","1","3","50","3095","5","217","64","1977","36","2047","26","493","80","2438","24","520","5","73","3","20","15","97","1","19","42","2761","1","37"
"芝地区総合支所","虎ノ門５丁目","310","4336","310","4336","-","-","-","-","1","7","6","45","16","563","-","-","30","621","6","45","51","682","14","216","22","185","73","1165","40","338","8","37","1","6","10","58","-","-","32","368","-","-"
"芝地区総合支所","愛宕１丁目","80","822","80","822","-","-","-","-","-","-","1","13","2","7","-","-","7","73","2","23","11","185","2","20","5","29","26","163","5","111","2","3","2","37","4","59","-","-","11","99","-","-"
"芝地区総合支所","愛宕２丁目","69","3304","69","3304","-","-","-","-","-","-","-","-","-","-","-","-","14","1480","2","19","7","574","9","624","1","8","9","147","8","139","-","-","3","26","6","237","-","-","10","50","-","-"
"麻布地区総合支所","麻布狸穴町","4","23","4","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","9","-","-","1","14","-","-","-","-","-","-","1","-","-","-"
"麻布地区総合支所","麻布永坂町","22","182","21","175","-","-","-","-","-","-","-","-","1","15","-","-","5","57","-","-","-","-","-","-","7","41","2","26","3","18","1","7","1","7","-","-","-","-","1","4","1","7"
"麻布地区総合支所","南麻布１丁目","145","1799","145","1799","-","-","-","-","-","-","6","124","9","129","-","-","8","101","4","16","47","733","4","10","20","36","10","247","6","22","10","84","2","184","4","25","-","-","15","88","-","-"
"麻布地区総合支所","南麻布２丁目","145","2669","145","2669","-","-","-","-","-","-","2","25","6","45","1","248","5","184","3","38","33","661","2","155","14","44","10","197","20","107","10","115","4","297","14","377","1","7","20","169","-","-"
"麻布地区総合支所","南麻布３丁目","84","1848","84","1848","1","7","-","-","-","-","1","1","1","1","-","-","11","1149","-","-","13","70","3","54","14","54","8","176","6","32","5","118","4","79","3","61","-","-","14","46","-","-"
"麻布地区総合支所","南麻布４丁目","194","2022","194","2022","-","-","-","-","-","-","6","16","7","71","-","-","13","289","-","-","44","355","2","40","24","157","21","104","22","162","15","149","8","52","22","587","-","-","10","40","-","-"
"麻布地区総合支所","南麻布５丁目","208","2883","208","2883","-","-","-","-","-","-","2","4","2","9","-","-","12","358","2","22","44","451","4","84","23","90","18","121","28","291","25","129","12","426","24","666","1","10","11","222","-","-"
"麻布地区総合支所","元麻布１丁目","53","317","53","317","-","-","-","-","-","-","1","118","2","2","-","-","2","17","-","-","4","17","-","-","13","26","2","5","2","8","4","13","4","25","3","17","-","-","16","69","-","-"
"麻布地区総合支所","元麻布２丁目","55","527","55","527","-","-","-","-","-","-","-","-","1","4","-","-","1","1","-","-","9","52","-","-","12","17","9","30","6","109","2","4","8","279","3","9","-","-","4","22","-","-"
"麻布地区総合支所","元麻布３丁目","126","1271","125","1156","-","-","-","-","-","-","-","-","4","25","-","-","12","268","1","8","16","158","2","12","12","42","17","93","15","233","14","94","6","67","10","62","-","-","16","94","1","115"
"麻布地区総合支所","西麻布１丁目","297","2780","297","2780","1","6","-","-","-","-","3","52","4","34","-","-","31","381","3","25","50","336","1","1","29","441","48","262","87","833","13","126","1","2","9","48","1","8","16","225","-","-"
"麻布地区総合支所","西麻布２丁目","219","3394","219","3394","-","-","-","-","-","-","8","47","9","73","-","-","19","315","3","222","48","1308","2","16","15","50","16","77","64","440","9","46","3","27","9","84","-","-","14","689","-","-"
"麻布地区総合支所","西麻布３丁目","267","3065","266","2745","-","-","-","-","-","-","2","24","4","28","-","-","20","250","-","-","55","476","1","8","27","192","39","225","48","641","27","204","3","54","17","342","-","-","23","301","1","320"
"麻布地区総合支所","西麻布４丁目","259","5307","259","5307","-","-","-","-","-","-","5","19","8","216","-","-","17","347","4","19","40","2530","2","29","31","95","16","56","84","507","16","109","5","71","14","144","-","-","17","1165","-","-"
"麻布地区総合支所","六本木１丁目","254","11123","253","10241","-","-","-","-","-","-","3","261","3","800","2","44","19","1558","1","12","50","2804","29","1759","17","122","40","1167","25","332","12","116","2","32","12","116","1","13","37","1105","1","882"
"麻布地区総合支所","六本木２丁目","74","1502","74","1502","-","-","-","-","-","-","-","-","1","4","-","-","13","279","1","8","9","43","2","697","7","34","12","75","12","93","5","21","1","3","1","2","-","-","10","243","-","-"
"麻布地区総合支所","六本木３丁目","533","7546","533","7546","1","10","-","-","-","-","2","33","7","48","-","-","39","835","3","63","66","2762","6","60","58","243","46","412","211","2004","32","282","7","170","22","150","-","-","33","474","-","-"
"麻布地区総合支所","六本木４丁目","314","2870","314","2870","1","3","-","-","-","-","3","32","6","34","-","-","27","724","1","21","37","294","3","44","33","124","26","73","120","1023","28","177","-","-","15","66","-","-","14","255","-","-"
"麻布地区総合支所","六本木５丁目","279","5227","277","5113","-","-","-","-","-","-","-","-","4","28","-","-","13","388","3","222","33","393","4","12","42","587","25","254","86","2205","19","295","12","305","13","187","-","-","23","237","2","114"
"麻布地区総合支所","六本木６丁目","532","19951","531","19517","-","-","-","-","-","-","3","20","9","256","2","55","58","3877","3","57","148","4546","22","1169","26","2661","47","1070","96","2184","29","891","10","153","22","287","2","24","54","2267","1","434"
"麻布地区総合支所","六本木７丁目","571","6051","570","5982","-","-","-","-","-","-","14","253","7","33","1","5","44","457","1","50","82","675","8","139","52","414","67","358","148","1363","51","580","20","470","30","239","-","-","45","946","1","69"
"麻布地区総合支所","麻布台１丁目","175","3239","173","3232","-","-","-","-","-","-","4","34","3","24","-","-","18","116","2","12","25","342","6","248","23","318","29","183","16","101","6","24","6","138","4","18","3","1117","28","557","2","7"
"麻布地区総合支所","麻布台２丁目","76","1730","76","1730","-","-","-","-","-","-","1","55","3","99","-","-","13","392","-","-","20","690","3","15","11","65","8","80","3","13","2","47","1","2","1","7","-","-","10","265","-","-"
"麻布地区総合支所","麻布台３丁目","74","756","73","551","-","-","-","-","-","-","1","10","1","1","-","-","11","178","1","14","9","84","2","3","15","59","8","37","14","84","3","11","1","14","3","25","-","-","4","31","1","205"
"麻布地区総合支所","麻布十番１丁目","266","2851","266","2851","-","-","-","-","-","-","1","3","4","61","-","-","18","779","1","6","62","450","5","93","30","162","18","120","61","742","21","144","8","79","22","151","-","-","15","61","-","-"
"麻布地区総合支所","麻布十番２丁目","315","2467","315","2467","-","-","-","-","-","-","4","30","7","37","-","-","9","69","2","13","93","821","6","25","27","104","8","65","87","876","29","144","10","81","26","157","1","9","6","36","-","-"
"麻布地区総合支所","麻布十番３丁目","90","867","90","867","-","-","-","-","-","-","2","40","1","42","-","-","6","102","-","-","24","279","1","16","9","23","4","28","23","186","6","63","3","29","8","51","-","-","3","8","-","-"
"麻布地区総合支所","麻布十番４丁目","26","230","26","230","-","-","-","-","-","-","2","4","2","11","-","-","2","83","-","-","4","44","1","23","3","12","-","-","5","22","2","13","2","7","2","6","-","-","1","5","-","-"
"麻布地区総合支所","東麻布１丁目","227","2226","226","2196","1","3","-","-","-","-","12","113","17","96","-","-","26","523","5","21","50","533","1","4","21","76","21","207","19","133","15","148","3","16","15","217","-","-","20","106","1","30"
"麻布地区総合支所","東麻布２丁目","176","2467","175","2425","-","-","-","-","-","-","12","343","13","61","-","-","7","196","3","16","52","665","-","-","18","87","16","100","22","204","11","37","3","81","9","154","-","-","9","481","1","42"
"麻布地区総合支所","東麻布３丁目","135","1258","135","1258","-","-","-","-","-","-","5","34","2","14","-","-","20","195","3","17","20","373","1","1","10","33","25","126","15","175","8","36","5","23","9","138","-","-","12","93","-","-"
"赤坂地区総合支所","元赤坂１丁目","320","13214","320","13214","-","-","-","-","-","-","17","4535","5","876","1","8","27","1305","9","45","49","734","8","154","37","567","71","870","13","79","15","148","6","26","10","224","-","-","52","3643","-","-"
"赤坂地区総合支所","元赤坂２丁目","11","833","8","590","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","3","-","-","-","-","-","-","1","14","3","529","-","-","-","-","-","-","3","44","3","243"
"赤坂地区総合支所","赤坂１丁目","557","20506","554","20318","1","2","1","11","-","-","5","165","8","89","1","2","42","3804","11","358","103","2160","26","419","31","450","98","6208","54","1475","20","884","10","102","11","122","2","14","130","4053","3","188"
"赤坂地区総合支所","赤坂２丁目","922","19172","922","19172","2","5","-","-","-","-","20","1657","18","1985","2","9","98","3501","5","118","119","3180","39","1710","70","467","162","1642","196","2060","34","314","17","157","47","681","3","22","90","1664","-","-"
"赤坂地区総合支所","赤坂３丁目","821","10377","821","10377","-","-","-","-","-","-","2","21","12","195","-","-","42","1523","9","357","98","1602","28","514","74","420","71","535","347","3294","44","279","9","37","45","346","1","9","39","1245","-","-"
"赤坂地区総合支所","赤坂４丁目","469","10371","467","9968","1","8","-","-","-","-","16","551","11","218","-","-","51","1654","5","346","83","2286","9","116","39","350","80","1698","70","648","22","195","9","201","24","164","-","-","47","1533","2","403"
"赤坂地区総合支所","赤坂５丁目","328","17764","327","17651","-","-","-","-","33","832","6","130","6","814","-","-","44","5423","3","20","40","837","11","254","30","1343","39","5597","58","1059","12","146","-","-","16","171","-","-","29","1025","1","113"
"赤坂地区総合支所","赤坂６丁目","391","9123","389","9089","-","-","-","-","-","-","9","3100","3","720","2","3","48","1418","4","24","50","1298","10","22","51","175","52","610","72","662","25","264","2","18","19","214","1","3","41","558","2","34"
"赤坂地区総合支所","赤坂７丁目","458","5313","458","5313","-","-","-","-","-","-","13","187","8","86","-","-","84","1579","5","107","74","1293","9","165","51","162","69","480","34","243","33","206","11","155","15","94","1","6","51","550","-","-"
"赤坂地区総合支所","赤坂８丁目","232","9032","231","9024","1","4","-","-","-","-","3","7","2","39","-","-","32","1293","2","350","30","2943","11","142","28","232","46","1067","22","132","13","229","11","127","7","701","-","-","23","1758","1","8"
"赤坂地区総合支所","赤坂９丁目","376","16948","376","16948","-","-","-","-","-","-","6","10","7","209","-","-","33","9359","2","12","97","3269","14","962","34","302","57","1346","46","695","27","106","12","169","12","73","1","6","28","430","-","-"
"赤坂地区総合支所","南青山１丁目","396","7739","396","7739","-","-","-","-","-","-","4","19","11","221","3","27","36","635","9","251","87","1902","14","909","23","248","55","1063","57","620","25","200","10","516","26","340","-","-","36","788","-","-"
"赤坂地区総合支所","南青山２丁目","871","24361","870","24239","-","-","-","-","-","-","11","108","28","1502","1","2","88","3160","3","14","187","2634","11","82","103","487","150","1405","71","732","72","994","18","120","58","493","1","12","68","12494","1","122"
"赤坂地区総合支所","南青山３丁目","498","7083","498","7083","-","-","-","-","-","-","8","70","4","52","-","-","29","1341","3","81","130","1730","10","201","41","138","61","397","57","537","82","1302","14","191","39","450","-","-","20","593","-","-"
"赤坂地区総合支所","南青山４丁目","265","1854","265","1854","-","-","-","-","-","-","3","37","5","18","-","-","28","279","-","-","58","436","4","44","31","125","55","253","15","131","27","229","10","125","19","149","-","-","10","28","-","-"
"赤坂地区総合支所","南青山５丁目","905","14206","904","14205","-","-","-","-","-","-","14","355","26","271","-","-","53","489","4","115","276","2723","12","4660","81","444","145","1005","92","2220","95","959","17","71","43","286","-","-","46","607","1","1"
"赤坂地区総合支所","南青山６丁目","329","3196","329","3196","-","-","-","-","-","-","2","7","4","24","-","-","26","285","1","11","108","826","2","7","41","163","63","350","22","440","29","306","8","571","6","90","-","-","17","116","-","-"
"赤坂地区総合支所","南青山７丁目","119","1403","119","1403","-","-","-","-","-","-","2","63","3","64","-","-","12","368","1","11","35","404","2","8","14","43","12","83","16","213","8","55","1","7","9","65","-","-","4","19","-","-"
"赤坂地区総合支所","北青山１丁目","167","3570","167","3570","-","-","-","-","-","-","3","17","5","217","1","13","19","583","1","7","38","1150","5","80","13","42","37","479","17","170","4","12","4","48","10","115","-","-","10","637","-","-"
"赤坂地区総合支所","北青山２丁目","345","9558","345","9558","-","-","-","-","1","37","7","168","4","348","1","8","30","1663","4","101","80","3763","17","387","35","229","35","647","42","534","28","495","3","100","21","310","-","-","37","768","-","-"
"赤坂地区総合支所","北青山３丁目","613","11160","613","11160","-","-","-","-","-","-","6","20","8","64","-","-","27","1183","2","320","186","5013","9","490","52","341","70","509","79","919","85","1188","25","184","43","417","-","-","21","512","-","-"
"高輪地区総合支所","三田４丁目","171","1968","171","1968","1","4","-","-","-","-","10","411","7","42","-","-","19","507","1","1","24","282","-","-","29","84","8","55","7","30","6","10","8","160","6","83","1","12","44","287","-","-"
"高輪地区総合支所","三田５丁目","159","1254","159","1254","-","-","-","-","-","-","5","35","19","121","-","-","5","143","4","83","35","303","3","33","17","40","5","15","24","135","12","25","2","18","14","115","-","-","14","188","-","-"
"高輪地区総合支所","高輪１丁目","298","2067","297","1986","-","-","-","-","-","-","8","27","8","34","-","-","15","116","2","18","72","382","3","28","44","158","20","118","34","174","26","341","13","102","25","249","-","-","27","239","1","81"
"高輪地区総合支所","高輪２丁目","444","9815","443","9785","-","-","-","-","-","-","21","219","15","542","-","-","34","2225","12","1397","113","1836","4","19","49","354","36","250","50","858","16","250","16","521","25","537","2","12","50","765","1","30"
"高輪地区総合支所","高輪３丁目","599","12730","597","12316","1","6","-","-","-","-","15","433","23","268","-","-","28","1552","23","1163","193","2281","12","137","39","257","32","314","108","2517","31","341","12","138","32","1055","2","15","46","1839","2","414"
"高輪地区総合支所","高輪４丁目","428","6909","428","6909","-","-","-","-","-","-","7","80","13","306","-","-","12","120","4","53","119","1475","6","18","62","138","49","281","43","1986","28","188","13","343","23","279","-","-","49","1642","-","-"
"高輪地区総合支所","白金１丁目","306","6400","306","6400","-","-","-","-","-","-","11","603","40","202","-","-","14","2477","4","93","56","535","14","1560","40","108","24","183","40","224","19","86","7","56","23","229","-","-","14","44","-","-"
"高輪地区総合支所","白金２丁目","45","529","44","398","-","-","-","-","-","-","2","6","1","6","-","-","1","34","-","-","8","193","-","-","9","17","1","1","7","47","2","3","2","22","2","35","-","-","9","34","1","131"
"高輪地区総合支所","白金３丁目","162","979","162","979","-","-","-","-","-","-","7","36","24","122","-","-","5","13","2","2","27","314","-","-","22","54","7","33","24","128","12","39","5","77","17","129","1","9","9","23","-","-"
"高輪地区総合支所","白金４丁目","47","311","47","311","-","-","-","-","-","-","1","7","3","16","-","-","-","-","1","4","5","34","-","-","16","38","4","9","2","3","3","25","5","130","3","32","-","-","4","13","-","-"
"高輪地区総合支所","白金５丁目","91","1932","90","1910","-","-","-","-","-","-","2","8","19","90","-","-","1","1","2","19","24","187","1","11","5","13","4","248","18","114","4","11","3","311","5","679","-","-","2","218","1","22"
"高輪地区総合支所","白金６丁目","110","517","110","517","-","-","-","-","-","-","4","22","10","30","-","-","4","14","-","-","22","105","-","-","19","39","9","19","21","197","12","25","3","31","5","30","-","-","1","5","-","-"
"高輪地区総合支所","白金台１丁目","72","3448","72","3448","-","-","-","-","-","-","-","-","3","49","-","-","1","2","-","-","13","124","1","1","7","82","8","39","11","505","14","970","6","1588","4","29","-","-","4","59","-","-"
"高輪地区総合支所","白金台２丁目","122","1006","122","1006","-","-","-","-","-","-","2","17","2","14","-","-","9","122","1","22","23","185","2","10","21","47","15","58","9","54","11","32","9","216","11","135","-","-","7","94","-","-"
"高輪地区総合支所","白金台３丁目","191","1930","191","1930","-","-","-","-","-","-","2","13","7","128","-","-","15","411","1","14","39","633","3","102","24","75","22","150","14","64","25","97","10","72","13","94","1","7","15","70","-","-"
"高輪地区総合支所","白金台４丁目","109","2400","109","2400","-","-","-","-","-","-","2","10","3","10","-","-","1","2","-","-","32","283","-","-","9","25","8","788","19","230","12","100","2","545","19","380","-","-","2","27","-","-"
"高輪地区総合支所","白金台５丁目","244","1869","244","1869","-","-","-","-","-","-","2","109","7","57","-","-","10","34","1","100","68","613","3","5","36","94","33","189","32","199","23","217","13","90","8","119","-","-","8","43","-","-"
"芝浦港南地区総合支所","芝浦１丁目","284","31138","284","31138","-","-","-","-","-","-","19","5118","19","668","1","-","22","7450","10","299","90","12748","2","430","19","2137","20","669","35","397","6","195","1","3","10","142","2","19","28","863","-","-"
"芝浦港南地区総合支所","芝浦２丁目","173","3844","173","3844","-","-","-","-","-","-","5","48","9","415","1","7","13","568","24","1279","55","1012","1","15","16","56","10","98","14","99","5","68","-","-","4","27","-","-","16","152","-","-"
"芝浦港南地区総合支所","芝浦３丁目","428","11775","427","11693","-","-","-","-","-","-","22","1310","18","910","1","2","43","2918","32","655","76","1711","13","335","27","164","34","652","60","907","19","109","12","259","26","214","1","11","43","1536","1","82"
"芝浦港南地区総合支所","芝浦４丁目","427","23597","426","23371","1","1","-","-","-","-","25","2117","17","982","1","10","25","4154","24","1515","112","8010","10","181","21","727","40","1239","29","232","6","32","9","125","25","298","1","7","80","3741","1","226"
"芝浦港南地区総合支所","海岸２丁目","85","2455","84","2431","-","-","-","-","-","-","5","254","4","342","-","-","4","150","15","404","28","409","1","6","9","34","5","88","5","17","-","-","-","-","-","-","-","-","8","727","1","24"
"芝浦港南地区総合支所","海岸３丁目","330","12097","327","11928","-","-","-","-","-","-","15","949","18","480","1","99","18","1856","108","3075","63","3376","2","7","12","94","19","319","22","131","4","15","1","5","4","52","-","-","40","1470","3","169"
"芝浦港南地区総合支所","港南１丁目","177","33968","177","33968","-","-","-","-","-","-","5","1824","15","989","6","181","23","8483","2","68","43","16457","2","60","7","63","9","1340","24","594","5","62","6","169","6","1437","-","-","24","2241","-","-"
"芝浦港南地区総合支所","港南２丁目","931","56359","931","56359","1","17","-","-","-","-","27","5741","39","5675","2","8","74","10784","34","2481","263","14803","31","2015","41","1174","52","3385","192","3916","22","289","13","92","45","2453","3","43","92","3483","-","-"
"芝浦港南地区総合支所","港南３丁目","87","2092","86","2082","-","-","-","-","-","-","1","78","1","24","-","-","2","2","15","340","19","552","-","-","7","23","11","173","6","97","1","178","6","120","4","69","2","4","11","422","1","10"
"芝浦港南地区総合支所","港南４丁目","139","4158","139","4158","-","-","-","-","-","-","2","78","-","-","-","-","15","1366","3","140","27","729","5","19","6","171","15","230","14","150","8","32","12","753","21","331","-","-","11","159","-","-"
"芝浦港南地区総合支所","港南５丁目","93","2819","90","1994","-","-","-","-","-","-","3","50","7","158","-","-","-","-","43","825","18","367","-","-","1","1","4","213","3","10","2","28","-","-","-","-","-","-","9","342","3","825"
"芝浦港南地区総合支所","台場１丁目","188","2966","187","2965","-","-","-","-","-","-","-","-","2","7","-","-","3","22","1","8","66","494","1","2","7","136","3","15","71","1627","13","364","5","113","6","113","1","7","8","57","1","1"
"芝浦港南地区総合支所","台場２丁目","134","12389","134","12389","-","-","-","-","-","-","4","531","5","1080","-","-","15","4264","7","325","35","1536","3","522","6","140","4","1205","15","802","7","207","1","10","5","35","-","-","27","1732","-","-"
"その他",,"2","307","2","307","-","-","-","-","-","-","-","-","-","-","-","-","1","304","-","-","1","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"

"町丁目、産業大分類別事業所数及び従業者数","Ver201802","資料：平成26年経済センサス-基礎調査報告(東京都総務局)を加工して作成。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
