"年度","学期中開放 学校数[校]","学期中開放 利用者数[人]","春・夏休業中開放 学校数[校]","春・夏休業中開放 利用者数[人]","合計 学校数[校]","合計 利用者数[人]"
"2013","18","13122","1","134","19","13256"
"2014","18","13418","4","177","19","13595"
"2015","17","11665","0","0","17","11665"
"2016","17","11750","0","0","17","11750"
"2017","17","12202","1","137","17","12339"

"平成30年度港区行政資料集　施設利用状況一覧 遊び場開放","Ver201803",,,,,
