行,EPSGコード,経度,緯度,施設名,ヨミ,郵便番号,所在地,運営組織,構造,構造規模,新築,集会室数,和室数,会議室数,調理実習室,AED
1,EPSG:6677,-31979.96473,-53505.85921,すずかけ会館,スズカケカイカン,194-0002,東京都町田市南つくし野3-7-6,すずかけ会館管理運営委員会,RC造,3階,1973,2,2,1,-,
2,EPSG:6677,-32786.17361,-52321.10048,小川会館,オガワカイカン,194-0003,東京都町田市小川3-10-11,小川会館運営委員会,S造,2階,1989,1,2,1,-,
3,EPSG:6677,-32442.7299,-54841.87988,鶴間会館,ツルマカイカン,194-0004,東京都町田市鶴間6-8-37,鶴間会館管理運営委員会,S造,平屋,1993,1,2,-,-,
4,EPSG:6677,-33018.11261,-54427.18619,南町田会館,ミナミマチダカイカン,194-0004,東京都町田市鶴間3-16-1,南町田会館管理運営委員会,RC造,平屋,1998,1,1,1,-,
5,EPSG:6677,-33171.47051,-52886.15967,原クラブ会館,ハラクラブカイカン,194-0005,東京都町田市南町田1-9-20,原町内会,木造,2階,2010,2,,-,-,
6,EPSG:6677,-32801.7991,-51610.47278,成瀬が丘ふれあい会館,ナルセガオカフレアイカイカン,194-0011,東京都町田市成瀬が丘2-20-3,成瀬が丘ふれあい会館管理運営委員会,S造,平屋,2006,3,1,-,-,
7,EPSG:6677,-33821.97277,-51775.96999,金森中央会館,カナモリチュウオウカイカン,194-0012,東京都町田市金森2-22-40,金森中央会館管理運営委員会,S造,平屋,1994,1,1,-,-,
8,EPSG:6677,-34450.25697,-51289.03391,金森１丁目総合会館,カナモリイッチョウメソウゴウカイカン,194-0012,東京都町田市金森1-6-17,金森一丁目総合会館管理運営委員会,木造,2階,1998,1,2,-,-,
9,EPSG:6677,-33923.30936,-52469.50936,金森センターかわせみ,カナモリセンターカワセミ,194-0012,東京都町田市金森3-36-13,金森センターかわせみ管理運営委員会,S造,2階,2003,1,2,1,-,
10,EPSG:6677,-33806.25426,-50742.57843,高ヶ坂ふれあいセンター,コウガサカフレアイセンター,194-0014,東京都町田市高ヶ坂6-1-20,高ヶ坂ふれあいセンター管理運営委員会,S造,2階,1988,1,3,1,-,
