地域,Area,平成24年(2012)不燃化率(%),平成29年(2017)不燃化率(%),,,,
西多摩,W-Tama,39.4,39.5,,,,
南多摩,S-Tama,45.3,46.6,,,,
北多摩西部,NW-Tama,51.3,53.5,,,,
北多摩南部,NS-Tama,46.9,49,,,,
北多摩北部,NN-Tama,46,48,,,,
