地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
西多摩,W-Tama,14.2,10.8,59.4,13.6,1.9
南多摩,S-Tama,16,10,67.4,6.1,0.5
北多摩西部,NW-Tama,15.5,12,64,7.7,0.8
北多摩南部,NS-Tama,17.7,10.4,66.5,5,0.4
北多摩北部,NN-Tama,17.3,8.7,68,5,1
