区分,公共施設（棟）,商業施設（棟）,住宅（棟）,工業施設（棟）,農業施設（棟）,合計（棟）,合計構成比(%)
平成24年,27998,72627,856575,31991,8361,997552,100
平成29年,28945,73404,898888,30405,7601,1039243,100
