区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H24(2012),4.9,4.7,5.2,1.3,2.8,5.1,2.4,68.3,5.4
H29(2017),4.9,4.9,5.2,1.2,2.8,5,2.4,68.2,5.3
