区分,宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%),森林(%),原野(%)
平成24年度,34.7,4.8,5.4,2.5,11.4,6.9,1.5,30,2.9
平成29年度,35.6,4.7,5.4,2.1,11.5,6.4,1.5,29.8,2.9
