区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H24(2012),34.7,4.8,5.4,2.5,11.4,6.9,1.5,30.0,2.9
H29(2017),35.6,4.7,5.4,2.1,11.5,6.4,1.5,29.8,2.9
