地域,Area,平成24年グロスGross容積率(%),平成24年ネットNet容積率(%)
西多摩,W-Tama,5.3,67.4
南多摩,S-Tama,26.9,83.8
北多摩西部,NW-Tama,41.8,87
北多摩南部,NS-Tama,60.7,104.6
北多摩北部,NN-Tama,50.5,90
