区分,５か年ごとの宅地の増減／集合住宅（ポイント）,５か年ごとの宅地の増減／独立住宅（ポイント）,５か年ごとの宅地の増減／専用商業施設（ポイント）,５か年ごとの宅地の増減／事務所建築物（ポイント）,５か年ごとの宅地の増減／専用工場（ポイント）
H4-9年度,0.7,0.2,0.2,0.1,0
H9-14年度,0.4,0.5,0.2,0.1,-0.3
H14-19年度,0.4,1,0.3,0,-0.1
H19-H24年度,0.2,0.4,0.1,0,-0.1
H24-H29年度,0.1,0.3,0.3,0.1,-0.3
