地域,Area,BP／企業構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
檜原村,Hinohara,15,14.8,65.4,4.2,0.5
奥多摩町,Okutama,19.3,11.9,59.9,7.5,1.4
