地域,Area,平成24年（2012）（ｍ2）,平成29年（2017）（ｍ2）
八王子市,Hachioji,310.2,313.2
立川市,Tachikawa,296.3,294.8
武蔵野市,Musashino,267.9,265.8
三鷹市,Mitaka,270,265
青梅市,Ome,314.5,308.9
府中市,Fuchu,302.7,297.7
昭島市,Akishima,312.3,308.3
調布市,Chofu,272.9,264.3
町田市,Machida,292.9,281.8
小金井市,Koganei,265.6,256.7
小平市,Kodaira,272.6,264.5
日野市,Hino,281.8,279
東村山市,Higashimurayama,254.7,251.6
国分寺市,Kokubunji,237.6,234.3
国立市,Kunitachi,308.1,302
福生市,Fussa,248.6,249.3
狛江市,Komae,220,215
東大和市,Higashiyamato,275,270.5
清瀬市,Kiyose,296.7,284.1
東久留米市,Higashikurume,247,241.7
武蔵村山市,Musashimurayama,284.7,271.1
多摩市,Tama,437.1,427.5
稲城市,Inagi,327.2,329.8
羽村市,Hamura,354,345.4
あきる野市,Akiruno,262.9,264.2
西東京市,Nishitokyo,225.9,219
瑞穂町,Mizuho,348.4,345.2
日の出町,Hinode,357.8,362
