a,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（H29）,All area(2017),33465.3,1206.4,385.4,283.2,234.9,174.5,1055,734.8,1693.1,65.5,21883.8,6766.7
全域（H24）,All area(2012),33461.4,1242.7,354.9,255.4,213.2,142.7,1036.9,724.6,1806.6,61.4,21954.6,6648.4
大島町,Oshima,9078.4,456.2,103.5,102,89.6,48.6,297.7,216.4,332,14.8,5807.5,1928.6
利島村,Toshima,403.9,14.5,3.6,3.6,2.9,0.3,17.4,11.3,9.5,0.1,273.7,81.9
新島村,Niijima,2709.3,123.2,93.6,11.8,29.6,14.1,104.1,63.3,67.9,0.8,1910.1,365.9
神津島村,Kozushima,1831.3,47.1,6.5,5.9,9.8,5.4,79.8,34.6,192.7,3.8,1005,481.1
三宅村,Miyake,5523.4,142.2,87.8,87.8,6.8,22.9,158.8,116.2,92.5,27,2393.1,2592.1
御蔵島村,Mikurajima,2034.2,9.3,1.3,1.3,3.2,1.1,19,15.1,28.8,0.6,1706.1,264.8
八丈町,Hachijo,6914,341,49.9,45.9,68.1,65,308.1,217.4,836,8.9,4937.7,299.3
青ヶ島村,Aogashima,594.8,13.1,5.2,5.2,1.2,5.5,13.2,10.9,59,0.1,338.6,158.8
小笠原村,Ogasawara,4376,59.7,33.9,19.8,23.7,11.6,56.9,49.9,74.7,9.3,3512.2,594
