地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,29.2,13.8,48.1,8.9
立川市,Tachikawa,38.7,21,35.5,4.7
武蔵野市,Musashino,39.1,12.6,43.6,4.7
三鷹市,Mitaka,29.9,15.6,48,6.5
青梅市,Ome,19.4,16.4,50.9,13.2
府中市,Fuchu,38.4,18.1,37.6,5.8
昭島市,Akishima,40.9,21.4,31.1,6.6
調布市,Chofu,37.4,12.3,44.7,5.5
町田市,Machida,22.1,23.4,48.1,6.4
小金井市,Koganei,28.3,12.5,52.6,6.6
小平市,Kodaira,24.2,31.4,38.7,5.7
日野市,Hino,27.5,18.1,49.8,4.6
東村山市,Higashimurayama,29.9,26.5,36.9,6.7
国分寺市,Kokubunji,25.6,20.5,47.7,6.2
国立市,Kunitachi,35.7,15.2,45,4.2
福生市,Fussa,25.4,18.2,47.9,8.5
狛江市,Komae,25.7,9.8,55.4,9.1
東大和市,Higashiyamato,27.8,23.2,41,8
清瀬市,Kiyose,33.7,8.5,46.5,11.2
東久留米市,Higashikurume,27.1,13.3,53.1,6.4
武蔵村山市,Musashimurayama,23.7,19.4,49.9,7
多摩市,Tama,51.9,13.6,31.7,2.8
稲城市,Inagi,38.9,16.8,33.8,10.5
羽村市,Hamura,25.2,34.2,33.3,7.2
あきる野市,Akiruno,14.3,12.2,57.1,16.4
西東京市,Nishitokyo,30.6,9.7,52.6,7.1
瑞穂町,Mizuho,26.3,28.6,35.2,9.9
日の出町,Hinode,14.6,21.4,40.7,23.2
