区分,グロス平成24年(Gross2012)(%),グロス平成24年(Gross2012)(%)
八王子市Hachioji,20.9,22.1
立川市Tachikawa,40.7,44.4
武蔵野市Musashino,84.8,86.3
三鷹市Mitaka,61.7,64.2
青梅市Ome,9.8,10
府中市Fuchu,50,52.4
昭島市Akishima,40.4,41.6
調布市Chofu,63.4,66.6
町田市Machida,33.2,35.5
小金井市Koganei,56.6,58.5
小平市Kodaira,50.5,51.6
日野市Hino,34.8,37.3
東村山市Higashimurayama,44.4,45.4
国分寺市Kokubunji,54,56
国立市Kunitachi,59.7,62.3
福生市Fussa,32.9,33
狛江市Komae,65.7,69.8
東大和市Higashiyamato,36,37.4
清瀬市Kiyose,41.2,43.2
東久留米市Higashikurume,50.9,54.1
武蔵村山市Musashimurayama,31.4,31.9
多摩市Tama,47,47.3
稲城市Inagi,27.2,29.6
羽村市Hamura,45.7,45.7
あきる野市Akiruno,8.1,8.2
西東京市Nishitokyo,62.9,65.6
瑞穂町Mizuho,21,21.2
日の出町Hinode,5.5,5.7
