区分,森林(%),原野(%),宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%)
平成24年度,94.9,0.3,0.8,0.6,0.1,0.1,0.7,0.8,1.7
平成29年度,94.8,0.3,0.8,0.7,0.1,0.1,0.7,0.8,1.7
