区分,建物構造
耐火構造／耐火造,主要構造部（柱、はり、壁、屋根等）が耐火構造（鉄筋コンクリート造、鉄骨鉄筋コンクリート造、耐火被覆した鉄骨造、れんが造、石造等）でできているもの
耐火構造／準耐火造,（１）外壁が耐火造で屋根が不燃材料（コンクリート、モルタル、れんが、瓦、網入りガラス等）でできているもの（２）主要構造部が不燃材料でできているもの（３）防火被覆した木造
木構造／木造,柱及びはりが木造で、屋根及び外壁が不燃材料（モルタル、しっくい、タイル、スレート等）でできているもの
木構造／防火造,主要構造部が木造で、他の区分に該当しないもの
