区分,容積率ネットNet(%)
BP-1／官公庁,37.7
BP-2／教育文化施設,26
BP-3／厚生医療施設,39.7
BP-4／供給処理施設,21.4
BC-1／事務所建築物,44.7
BC-2／専用商業施設,37
BC-3／住商併用施設,60.2
BC-4／宿泊・遊興施設,49.8
BC-5／スポーツ・興行施設,2
BR-1／独立住宅,30.3
BR-2／集合住宅,58.2
BI-1／専用工場,26.1
BI-2／住居併用工場,48.7
BI-3／倉庫運輸関係施設,27
BA／農林漁業施設,25
