区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H24(2012),44.8,13.3,36.5,5.4
H29(2017),45.4,14.3,35.8,4.6
