地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,7.5,2.4,1,2.7,4.7,4,0.5,0.3,52.4,15.4,5,0.8,2.2,0.5
立川市,Tachikawa,2.4,6.2,2,0.6,3.9,7,4,0.6,0.9,41.9,21.8,3,0.4,4.9,0.7
武蔵野市,Musashino,0.7,6.7,2.3,0.3,3.5,3.6,5.5,0.5,0.7,43.8,30.2,0.9,0.3,0.9,0.1
三鷹市,Mitaka,1.2,6.9,2.6,0.3,2.1,3,4,0.1,0.3,47.6,27.7,2.2,0.5,1.4,0.2
青梅市,Ome,0.7,5.7,3.6,0.4,2,4.4,3.6,0.8,0.4,56.3,8.9,8.8,0.9,2.6,0.9
府中市,Fuchu,1.8,7,2.5,1,2.6,3,3.6,0.2,2.3,40.8,23.3,9,0.4,2.3,0.4
昭島市,Akishima,0.6,5,2.5,1.6,3.5,6.3,4.2,0.8,1.1,42,17.6,9,0.6,4.9,0.2
調布市,Chofu,0.4,8.4,2.2,0.4,2,3.4,4.8,0.2,1.8,42.8,28.9,1.9,0.5,1.9,0.5
町田市,Machida,0.4,6.2,2.2,0.4,1.7,4.6,3.1,0.3,0.5,60.4,16.2,1.7,0.3,1.7,0.3
小金井市,Koganei,0.4,10.1,1.7,0.2,1.2,2.4,4.3,0.1,0.4,50.9,26.6,0.6,0.2,0.8,0.2
小平市,Kodaira,0.4,7.9,2.5,0.4,1.3,3.5,4,0.2,0.4,52,21.2,4.5,0.3,1.1,0.1
日野市,Hino,0.4,5.6,2.3,0.6,1.5,2.4,2.8,0.2,0.8,52.4,20.1,8.5,0.2,2.2,0.2
東村山市,Higashimurayama,0.5,5.3,4.5,0.9,1.7,3.4,3.9,0.5,0.3,53.7,18.5,2.7,0.5,3.1,0.6
国分寺市,Kokubunji,0.4,6.4,1.7,0.2,1.5,2.7,3.9,0.4,0.4,57.6,22.6,0.5,0.3,1,0.5
国立市,Kunitachi,0.6,9.6,2.2,2.8,2.3,3,5.4,0.3,0.3,45,23.6,0.6,0.4,3.6,0.2
福生市,Fussa,1.1,5.3,2.2,0.2,2,5.3,6.1,0.9,0.7,47.9,21.6,3.8,0.6,2.1,0.4
狛江市,Komae,0.5,4.5,2.2,0.2,1.1,1.9,4.7,0,0.5,52.4,29.1,0.8,0.5,1.4,0.3
東大和市,Higashiyamato,0.5,5.2,2.5,0.4,1.7,6.1,4.6,0.5,0.5,53.6,17.2,3.5,0.5,2.3,0.8
清瀬市,Kiyose,0.9,9,6.6,1.4,1,2,4.5,0.2,0.4,47.8,20.7,1.4,0.4,1,2.7
東久留米市,Higashikurume,0.4,5.7,1.8,0.6,1.6,5.4,4.1,0.2,0.5,53.4,18.2,4.1,0.5,1.9,1.5
武蔵村山市,Musashimurayama,0.3,5.3,2.6,0.1,1.4,6.3,3.4,0.8,0.4,54.1,9.9,8.9,0.7,5.5,0.4
多摩市,Tama,0.5,8.7,3.3,1.3,5.9,5.2,2.4,0.8,0.6,37.2,30.5,0.9,0.1,2.2,0.2
稲城市,Inagi,0.4,7.1,2.5,2.1,2.6,5.9,3.8,0.1,0.6,42.8,23.4,4.2,0.5,3,0.7
羽村市,Hamura,0.5,3.6,2.2,1,1.7,3.9,3,0.3,0.4,41.1,12.3,25.3,0.2,3.6,0.9
あきる野市,Akiruno,0.7,5.7,2.3,0.4,1.4,3.5,4,1.1,0.9,65.3,5.9,4.8,0.6,1.5,1.9
西東京市,Nishitokyo,0.4,5.5,2.4,0.3,1.7,2.9,4.6,0.3,0.5,52.5,25.4,1.3,0.3,1.6,0.4
瑞穂町,Mizuho,0.4,2.8,1.6,0.7,1.8,6.4,2.5,1.3,0.5,39,5.2,21.4,1.4,10.7,4.2
日の出町,Hinode,0.8,4.3,5.9,1.3,2.7,4.8,1.5,0.4,0.1,54.1,3,11.9,0.4,4.3,4.6
