区分,建ぺい率ネットNet(%),,,
BP-1／官公庁,22.2,,,
BP-2／教育文化施設,15.8,,,
BP-3／厚生医療施設,27.9,,,
BP-4／供給処理施設,14.4,,,
BC-1／事務所建築物,28.7,,,
BC-2／専用商業施設,28.6,,,
BC-3／住商併用施設,40.8,,,
BC-4／宿泊・遊興施設,31.6,,,
BC-5／スポーツ・興行施設,1.9,,,
BR-1／独立住宅,26.1,,,
BR-2／集合住宅,29.7,,,
BI-1／専用工場,22.5,,,
BI-2／住居併用工場,32.3,,,
BI-3／倉庫運輸関係施設,23.3,,,
BA／農林漁業施設,22.6,,,
