地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
八王子市,Hachioji,25.6,3.3,5,2,9.5,4.4,1.1,45.8,3.4
立川市,Tachikawa,48.3,10.9,7.2,4.3,15.3,10.5,0.8,1.6,1
武蔵野市,Musashino,67.9,3.7,6.6,1.6,16.8,2.9,0.5,0.1,0
三鷹市,Mitaka,63,3.6,4.4,2.7,15.5,8.9,1.2,0.6,0.1
青梅市,Ome,14.3,3.4,3,1.4,5.2,4.8,1.3,65.2,1.5
府中市,Fuchu,55,5.2,9.4,1.6,17,4.8,1.6,0.5,5
昭島市,Akishima,49.3,3.9,9.9,4.2,14.8,4.2,3.1,2,8.5
調布市,Chofu,54.6,4.2,8.9,1.9,17,6.3,2.2,2,3
町田市,Machida,45,3.4,6.1,2.2,14.5,6.9,1,17.8,2.9
小金井市,Koganei,63.1,2.6,8.8,1.3,16,6.1,1.1,0.9,0.2
小平市,Kodaira,61.1,3.9,7.3,1.1,15.4,9.2,0.4,1.6,0.1
日野市,Hino,46.1,3.5,5.4,2.9,16.6,5.4,3.1,6.6,10.3
東村山市,Higashimurayama,56.6,4.2,5.8,1.4,15.8,9.5,1,4.4,1.3
国分寺市,Kokubunji,61,3.9,2.8,1.2,15.5,12.8,0.2,2.3,0.3
国立市,Kunitachi,61.8,4.7,2.6,1.4,18.5,7,1.1,0.8,2.1
福生市,Fussa,37.4,36.3,3.8,1.1,13.4,1.5,1.1,1.7,3.5
狛江市,Komae,58.7,4.2,3.7,1.4,16.9,5.6,3.7,1,4.8
東大和市,Higashiyamato,42,3.9,6.8,2.1,14,5.3,11.2,14.5,0.2
清瀬市,Kiyose,49.9,3.7,2.8,2.8,15,19.6,0.8,3.7,1.7
東久留米市,Higashikurume,55.7,4.7,4,2.3,16.7,12.6,0.6,2.7,0.6
武蔵村山市,Musashimurayama,42.8,10.3,2.5,5.4,11.8,12.8,0.7,13.4,0.5
多摩市,Tama,43.5,3.2,14.5,2.9,19.1,1.8,1.9,6.7,6.5
稲城市,Inagi,30.7,10.4,15.4,7.1,14,6.9,1.5,10.4,3.6
羽村市,Hamura,57.2,8.8,4.3,1.8,15,4.2,2.4,1.7,4.6
あきる野市,Akiruno,13.4,2.1,3.9,1.5,4.9,6.5,1.9,62,3.7
西東京市,Nishitokyo,60.9,4.4,4.6,2,17.4,9.5,0.3,0.7,0.2
瑞穂町,Mizuho,31.7,17.7,2.4,2.4,10,15.9,0.3,19.2,0.5
日の出町,Hinode,12,3,1.2,1.6,4,4.8,0.9,70.6,1.9
