区分,H29容積率（ネット）(%),,,
BP-1／官公庁,86.1,,,
BP-2／教育文化施設,30.2,,,
BP-3／厚生医療施設,107.3,,,
BP-4／供給処理施設,23.9,,,
BC-1／事務所建築物,41.4,,,
BC-2／専用商業施設,44.1,,,
BC-3／住商併用施設,60.2,,,
BC-4／宿泊・遊興施設,35.8,,,
BC-5／スポーツ・興行施設,40.9,,,
BR-1／独立住宅,43.3,,,
BR-2／集合住宅,79.9,,,
BI-1／専用工場,36.8,,,
BI-2／住居併用工場,69.8,,,
BI-3／倉庫運輸関係施設,33.8,,,
BA／農林漁業施設,24.2,,,
