地域,Area,平成24年（2012）中高層化率構成比(%),平成29年（2017）中高層化率構成比(%)
八王子市,Hachioji,13.9,14.2
立川市,Tachikawa,19.6,20.5
武蔵野市,Musashino,20.3,20.3
三鷹市,Mitaka,13.8,14.7
青梅市,Ome,7.2,7
府中市,Fuchu,16.6,17.5
昭島市,Akishima,14.2,14.4
調布市,Chofu,19,19.9
町田市,Machida,11.6,12
小金井市,Koganei,11.8,12
小平市,Kodaira,13.6,14
日野市,Hino,12.1,13.3
東村山市,Higashimurayama,12.8,12.8
国分寺市,Kokubunji,12.1,12.2
国立市,Kunitachi,17,17.5
福生市,Fussa,11.8,11.8
狛江市,Komae,11.7,12.7
東大和市,Higashiyamato,12.8,13
清瀬市,Kiyose,16.1,15.7
東久留米市,Higashikurume,11.5,12.1
武蔵村山市,Musashimurayama,10.3,10
多摩市,Tama,34.1,34.4
稲城市,Inagi,16.9,17.2
羽村市,Hamura,10.7,11
あきる野市,Akiruno,3.4,3.4
西東京市,Nishitokyo,14.8,14.9
瑞穂町,Mizuho,5,5
日の出町,Hinode,2,2.1
