地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
大島町,Oshima,20.6,13.2,57.1,6.2,3
利島村,Toshima,29.8,10,43.3,13.6,3.3
新島村,Niijima,18.4,17.7,43.2,15.4,5.3
神津島村,Kozushima,21.7,18.9,41.2,14.8,3.5
三宅村,Miyake,16.9,12.5,56.4,10.5,3.7
御蔵島村,Mikurajima,25.8,9.8,42.3,9.7,12.3
八丈町,Hachijo,13.5,13.9,60.8,7.5,4.2
青ヶ島村,Aogashima,38.1,7.7,23.5,21.6,9.1
小笠原村,Ogasawara,34.3,17.9,31.6,6.8,9.5
