地域,Area,平成29年グロスGross容積率(%),平成29年ネットNet容積率(%)
西多摩,W-Tama,5.4,67.4
南多摩,S-Tama,28.4,85.9
北多摩西部,NW-Tama,43.8,88.5
北多摩南部,NS-Tama,63.3,107.5
北多摩北部,NN-Tama,52.4,91
