区分,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%)
H24(2012),7.9,59.2,32.2,0.6
H29(2017),7.8,60.1,31.4,0.7
