地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,46.7,10.6,37.6,5.2
立川市,Tachikawa,51.2,18.4,27.8,2.6
武蔵野市,Musashino,59.4,9,29,2.5
三鷹市,Mitaka,46.1,12.8,36.9,4.2
青梅市,Ome,30.7,14.5,46.3,8.5
府中市,Fuchu,53.3,13.7,29.4,3.6
昭島市,Akishima,53.7,17.4,25,3.9
調布市,Chofu,56.8,9.2,31,3.1
町田市,Machida,35,20.5,40.4,4.1
小金井市,Koganei,43.1,10.5,42,4.3
小平市,Kodaira,39.2,26.6,30.8,3.5
日野市,Hino,38.9,15.3,42.7,3.2
東村山市,Higashimurayama,40,23.3,32.1,4.6
国分寺市,Kokubunji,39.7,17.4,38.9,4.1
国立市,Kunitachi,52.2,11.6,33.8,2.3
福生市,Fussa,39.9,15.8,39.3,4.9
狛江市,Komae,41.4,8,44.1,6.4
東大和市,Higashiyamato,45.2,18.2,31.8,4.8
清瀬市,Kiyose,48.8,6.6,37.1,7.5
東久留米市,Higashikurume,44,9.7,42.4,3.9
武蔵村山市,Musashimurayama,34.7,16.3,44.3,4.6
多摩市,Tama,69.5,8.8,20.3,1.5
稲城市,Inagi,57.9,11.9,24.3,5.9
羽村市,Hamura,39.1,27.4,28.9,4.6
あきる野市,Akiruno,20.6,10.7,56.4,12.2
西東京市,Nishitokyo,49,7.6,38.9,4.4
瑞穂町,Mizuho,34.8,24.9,33.6,6.8
日の出町,Hinode,20.3,19.3,42.6,17.8
