地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.8,12.8,2.4,1.7,2.8,4.1,3,0.4,0.4,48.7,15,4.4,0.6,2.3,0.6
立川市,Tachikawa,3.3,9.7,2.1,1.2,3.3,5.8,3,0.4,1,41.1,21.2,2.4,0.3,3.8,1.5
武蔵野市,Musashino,0.8,10.8,2.1,3.1,3.3,2.5,4.2,0.3,0.5,41.9,28.3,0.8,0.3,0.8,0.3
三鷹市,Mitaka,3.6,13.5,2.5,0.6,1.8,2.8,3,0,0.2,42.6,25,2.4,0.3,1.3,0.3
青梅市,Ome,0.7,11,4.1,0.9,1.8,4.2,2.7,0.7,0.4,54.4,7.9,7.2,0.7,2.4,0.9
府中市,Fuchu,2.4,11.8,2.3,1.5,2.5,2.5,2.6,0.1,5.5,36.9,21.4,8,0.3,1.9,0.4
昭島市,Akishima,0.7,8.3,2.5,2.8,3.1,6,3.3,0.7,1.6,39.5,17.1,8.8,0.5,4.8,0.2
調布市,Chofu,0.4,12.7,2.2,0.6,1.8,3.1,3.7,0.1,2.9,40.7,27.4,1.7,0.4,1.7,0.5
町田市,Machida,0.4,10,2,0.9,1.7,4,2.4,0.2,0.8,56.2,17.1,1.7,0.2,1.8,0.5
小金井市,Koganei,0.9,17.7,1.5,0.8,1.1,2.2,3.3,0.1,0.5,46.4,23.8,0.5,0.1,0.8,0.3
小平市,Kodaira,0.5,14.2,3.5,0.8,1.2,3.4,2.9,0.2,0.7,46.2,19,5.4,0.2,1.5,0.2
日野市,Hino,0.4,9.8,2.1,1.1,1.4,2.2,2.2,0.2,1.1,49.7,20.4,6.8,0.2,2.1,0.2
東村山市,Higashimurayama,0.7,8.6,4.8,3.3,1.7,3.3,2.9,0.3,0.5,49.7,18.2,2.2,0.3,2.7,0.7
国分寺市,Kokubunji,0.6,12.7,1.8,0.4,1.3,2.5,3,0.3,0.4,54.5,20.4,0.6,0.2,0.8,0.7
国立市,Kunitachi,0.8,17.9,1.9,3.7,2.1,2.6,4.1,0.3,0.2,40.1,21.4,0.5,0.4,3.8,0.3
福生市,Fussa,1.1,8.3,2.2,0.4,1.9,4.8,4.7,0.8,0.8,47.5,21.4,3,0.4,2.2,0.6
狛江市,Komae,0.5,7.8,2.2,0.3,1.1,1.6,3.7,0,0.5,51.6,27.8,0.7,0.4,1.3,0.4
東大和市,Higashiyamato,0.8,8.2,2.2,0.5,1.7,5.9,3.5,0.4,0.6,50.7,18.1,3.7,0.4,1.8,1.3
清瀬市,Kiyose,0.8,14.8,7.4,3.9,0.9,1.8,3,0.1,0.5,40.7,21,1.1,0.3,1,2.7
東久留米市,Higashikurume,0.4,9.8,1.8,1,1.5,5.3,3.2,0.1,0.4,48.2,20.2,3.2,0.4,1.8,2.7
武蔵村山市,Musashimurayama,0.3,8.2,2.9,0.6,1.8,7.4,2.6,0.6,0.3,51.8,11.1,7,0.5,4.5,0.5
多摩市,Tama,0.6,15,3.3,1.8,5.1,4.1,1.6,0.4,0.6,33.1,31.4,0.8,0.1,1.9,0.3
稲城市,Inagi,0.4,10.1,2.4,2.6,2.9,5.3,3,0.1,1.6,39.6,23.8,3.7,0.4,3.1,1
羽村市,Hamura,0.5,5.6,2.1,2.3,2.1,4.4,2.3,0.2,1.3,39.8,11.4,23.7,0.2,3.1,1.1
あきる野市,Akiruno,0.8,8.9,2.2,0.9,1.7,3.2,3.2,1.7,0.8,62.4,5.2,5,0.5,1.6,1.9
西東京市,Nishitokyo,0.4,9.7,2.2,1,1.7,2.6,3.6,0.2,0.7,49,25.5,1.4,0.3,1.5,0.4
瑞穂町,Mizuho,0.5,4.7,1.7,1.5,2.4,7,2.1,1.6,0.5,39.2,5.3,18.6,1.1,9.1,4.9
日の出町,Hinode,0.9,5.8,5,11.1,2.3,5.2,1.1,0.3,0.2,45.7,2.3,10.4,0.3,4.2,5.1
