区分,ネット平成24年(Net2012)構成比(%),ネット平成29年(Net2017)構成比(%)
BP-1／官公庁施設,73.1,77.6
BP-2／教育文化施設,55.7,57
BP-3／厚生医療施設,102.2,103.8
BP-4／供給処理施設,36.5,34.6
BC-1／事務所建築物,113.7,113.5
BC-2／専用商業施設,87.7,91.7
BC-3／住商併用施設,124.2,126.5
BC-4／宿泊・遊興施設,116.2,120.3
BC-5／スポーツ・興行施設,54.8,58
BR-1／独立住宅,73.3,74.3
BR-2／集合住宅,142,144.6
BI-1／専用工場,82.4,81.4
BI-2／住居併用工場,88.5,88.2
BI-3／倉庫運輸関係施設,78.7,81.1
BA／農林漁業施設,33.9,33.6
