区分,平成24年（2012）中高層化率構成比(%),平成29年（2017）中高層化率構成比(%)
BP-1／官公庁施設,27.3,30.3
BP-2／教育文化施設,27.2,27.5
BP-3／厚生医療施設,31.6,31.1
BP-4／供給処理施設,14.3,12.9
BC-1／事務所建築物,34.1,34.8
BC-2／専用商業施設,17.2,17.7
BC-3／住商併用施設,15.5,15.8
BC-4／宿泊・遊興施設,30.2,30.9
BC-5／スポーツ・興行施設,22.6,27.7
BR-1／独立住宅,0,0
BR-2／集合住宅,40.8,41.3
BI-1／専用工場,10.5,11.9
BI-2／住居併用工場,1.5,1.4
BI-3／倉庫運輸関係施設,11.2,13.5
BA／農林漁業施設,0,0
