地域,Area,容積率グロスGross(%),容積率ネットNet(%)
大島町,Oshima,1.4,27.6
利島村,Toshima,1.3,35.2
新島村,Niijima,2,43.7
神津島村,Kozushima,1.4,53.8
三宅村,Miyake,0.8,32
御蔵島村,Mikurajima,0.2,41.6
八丈町,Hachijo,1.7,33.7
青ヶ島村,Aogashima,0.6,26.7
小笠原村,Ogasawara,0.5,40.1
