地域,Area,平成24年(2012)不燃化率(%),平成29年(2017)不燃化率(%),,,,
西多摩,W-Tama,47.4,47.3,,,,
南多摩,S-Tama,58.3,59.4,,,,
北多摩西部,NW-Tama,61.6,64,,,,
北多摩南部,NS-Tama,60.6,62.8,,,,
北多摩北部,NN-Tama,57.8,59.7,,,,
