地域,Area,ネット平成24年(Net2012)(%),ネット平成29年(Net2017)(%)
八王子市,Hachioji,37,37
立川市,Tachikawa,40.6,40
武蔵野市,Musashino,44.9,44.8
三鷹市,Mitaka,41.1,41.2
青梅市,Ome,36.5,36.6
府中市,Fuchu,41.2,41.1
昭島市,Akishima,38.8,38
調布市,Chofu,44.8,45.3
町田市,Machida,36,37.1
小金井市,Koganei,39.7,39.9
小平市,Kodaira,37.5,36.3
日野市,Hino,39,39
東村山市,Higashimurayama,38.3,37.8
国分寺市,Kokubunji,41.2,40.4
国立市,Kunitachi,39,39.2
福生市,Fussa,42.3,41.1
狛江市,Komae,47.7,48.3
東大和市,Higashiyamato,38.6,38.5
清瀬市,Kiyose,37.1,37.7
東久留米市,Higashikurume,40.9,41.2
武蔵村山市,Musashimurayama,37.6,37.2
多摩市,Tama,36.6,37.3
稲城市,Inagi,38.2,38.1
羽村市,Hamura,39.5,39.1
あきる野市,Akiruno,35.2,34.4
西東京市,Nishitokyo,42.7,43.4
瑞穂町,Mizuho,38.2,37.1
日の出町,Hinode,29.2,29
