区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H24(2012),19.4,14.5,52.8,8.4,4.8
H29(2017),19,14.1,54.1,8.7,4.2
,,,,,
,,,,,
,,,,,
