区分,ネット平成24年(Net2012)構成比(%),ネット平成29年(Net2017)構成比(%)
BP-1／官公庁施設,29.7,29.3
BP-2／教育文化施設,22.7,22.9
BP-3／厚生医療施設,37.8,38.2
BP-4／供給処理施設,19.4,18.3
BC-1／事務所建築物,41.2,40.2
BC-2／専用商業施設,41.7,42
BC-3／住商併用施設,51.5,51.5
BC-4／宿泊・遊興施設,44.1,44.2
BC-5／スポーツ・興行施設,26.4,25.9
BR-1／独立住宅,41.3,41.4
BR-2／集合住宅,40.6,40.7
BI-1／専用工場,44.4,42.3
BI-2／住居併用工場,49.1,48.8
BI-3／倉庫運輸関係施設,41.1,40.7
BA／農林漁業施設,29.5,29.3
