地域,Area,建築面積ベース不燃化率(%),延べ面積ベース不燃化率(%)
大島町,Oshima,28.5,35.5
利島村,Toshima,38.8,29.4
新島村,Niijima,46.8,52.5
神津島村,Kozushima,38.1,42.2
三宅村,Miyake,29.9,37
御蔵島村,Mikurajima,43.3,54.6
八丈町,Hachijo,33.3,41
青ヶ島村,Aogashima,73.7,79.4
小笠原村,Ogasawara,81.4,84
