地域,Area,平成24年(2012)不燃化率（建築面積ベース）構成比(%),平成29年(2017)不燃化率（建築面積ベース）構成比(%)
八王子市,Hachioji,42.1,42.9
立川市,Tachikawa,58.9,59.8
武蔵野市,Musashino,50.6,51.7
三鷹市,Mitaka,44.8,45.5
青梅市,Ome,36.7,35.8
府中市,Fuchu,52.6,56.5
昭島市,Akishima,62.2,62.3
調布市,Chofu,48.7,49.7
町田市,Machida,43.9,45.5
小金井市,Koganei,37.7,40.7
小平市,Kodaira,51.7,55.6
日野市,Hino,44.3,45.6
東村山市,Higashimurayama,51.8,56.4
国分寺市,Kokubunji,39.8,46.1
国立市,Kunitachi,47.9,50.9
福生市,Fussa,42.9,43.6
狛江市,Komae,33.7,35.5
東大和市,Higashiyamato,45.5,51
清瀬市,Kiyose,42.5,42.2
東久留米市,Higashikurume,40.2,40.5
武蔵村山市,Musashimurayama,44.1,43.1
多摩市,Tama,65.5,65.5
稲城市,Inagi,50.1,55.7
羽村市,Hamura,58.2,59.5
あきる野市,Akiruno,26.5,26.5
西東京市,Nishitokyo,40.2,40.3
瑞穂町,Mizuho,54.4,54.9
日の出町,Hinode,34.3,36.1
