地域,Area,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%)
八王子市,Hachioji,8.5,65.8,25,0.6
立川市,Tachikawa,0.3,72.3,27.1,0.3
武蔵野市,Musashino,0,76.8,23.2,0
三鷹市,Mitaka,0.2,80.4,19.4,0
青梅市,Ome,5.3,50.3,42.7,1.7
府中市,Fuchu,16.9,64.7,18.4,0.1
昭島市,Akishima,10.4,67.6,21.9,0
調布市,Chofu,1.6,62.2,36.2,0
町田市,Machida,7.2,75,17.7,0.2
小金井市,Koganei,0,51.6,47.9,0.5
小平市,Kodaira,0,66.2,33.8,0
日野市,Hino,7.3,72,20.7,0
東村山市,Higashimurayama,0.9,76.2,22.9,0.1
国分寺市,Kokubunji,0,87.5,12.5,0
国立市,Kunitachi,13.6,75.3,11,0
福生市,Fussa,0.7,76,23.4,0
狛江市,Komae,0,88,12,0
東大和市,Higashiyamato,0,63.4,36.5,0.1
清瀬市,Kiyose,0,92.9,7.1,0
東久留米市,Higashikurume,0,73.7,26.3,0
武蔵村山市,Musashimurayama,0.5,71.5,27.9,0.2
多摩市,Tama,4.7,64.7,30.6,0
稲城市,Inagi,8.3,46.7,45.1,0
羽村市,Hamura,10.6,72.7,16.6,0.1
あきる野市,Akiruno,8.4,58.1,33.5,0
西東京市,Nishitokyo,0.1,83.6,16.3,0
瑞穂町,Mizuho,0,62.7,37.1,0.2
日の出町,Hinode,2.2,64.9,32.9,0
