地域,Area,ネット平成24年(Net2012)構成比(%),ネット平成24年(Net2012)構成比(%)
八王子市,Hachioji,84.9,86.5
立川市,Tachikawa,87.7,91.9
武蔵野市,Musashino,125.1,127.1
三鷹市,Mitaka,99,101.9
青梅市,Ome,69.1,70.2
府中市,Fuchu,92.6,95.3
昭島市,Akishima,84.2,84.4
調布市,Chofu,117.9,122.1
町田市,Machida,75.1,78.7
小金井市,Koganei,91,92.8
小平市,Kodaira,85.1,84.6
日野市,Hino,78.5,80.9
東村山市,Higashimurayama,79.9,80.1
国分寺市,Kokubunji,91.5,91.8
国立市,Kunitachi,98.7,100.8
福生市,Fussa,89.8,88.2
狛江市,Komae,115,118.9
東大和市,Higashiyamato,88.4,89.1
清瀬市,Kiyose,85.3,86.5
東久留米市,Higashikurume,95.3,97.1
武蔵村山市,Musashimurayama,74.8,74.6
多摩市,Tama,110.3,108.6
稲城市,Inagi,94.8,96.3
羽村市,Hamura,80,80
あきる野市,Akiruno,62.4,61.6
西東京市,Nishitokyo,104.8,107.8
瑞穂町,Mizuho,68.3,67
日の出町,Hinode,47.2,47.5
