区分,平成19年(2007)不燃化率（延べ面積ベース）構成比(%),平成24年(2012)不燃化率（延べ面積ベース）構成比(%)
BP-1／官公庁施設,94.3,96
BP-2／教育文化施設,92.2,93
BP-3／厚生医療施設,95.2,95.7
BP-4／供給処理施設,97.6,97.9
BC-1／事務所建築物,92.9,93.9
BC-2／専用商業施設,92.8,94.6
BC-3／住商併用施設,57.3,62.2
BC-4／宿泊・遊興施設,85.1,90.3
BC-5／スポーツ・興行施設,95.4,96.2
BR-1／独立住宅,12,15.9
BR-2／集合住宅,86.8,88.5
BI-1／専用工場,91,92.6
BI-2／住居併用工場,42.7,46.3
BI-3／倉庫運輸関係施設,87.8,90.8
BA／農林漁業施設,29.2,29.6
