地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ興業施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大島町,Oshima,4,8.5,2.7,1.5,1.5,2.6,6.1,8.6,0.1,50,5.5,2.8,1,3.2,2
利島村,Toshima,3,11.6,5.2,5,3.3,1.4,2.4,6.8,0.3,33.1,12.1,4.2,0,7.6,3.9
新島村,Niijima,3.5,6.4,1.9,1.3,1.4,1.4,11.3,12.2,0,43.6,4.3,5.5,1.2,2.9,3.1
神津島村,Kozushima,1.4,8.9,3.7,2.4,1,3,8,16.4,0.1,38.3,4.8,2.1,2,4.8,2.9
三宅村,Miyake,4.6,8.4,2.4,1.4,2,1.8,5.6,8.3,0,47.6,8.8,3.6,0.9,2.7,2.1
御蔵島村,Mikurajima,3.9,14.8,6.6,4.4,4.1,0,2.6,6.5,0.2,29.1,15.1,2.6,0.2,3.4,6.6
八丈町,Hachijo,3.4,6.7,2.2,1.7,1.9,2.6,5.9,7.4,0,50.4,7.2,2,0.8,4,3.8
青ヶ島村,Aogashima,3,15.1,6.3,4.9,1.5,1.2,2.3,7.2,0,15.5,19.3,6.1,6.5,3.8,7.3
小笠原村,Ogasawara,7.6,11.5,2,6.9,4.2,2.7,4.5,11.5,0,10.9,27.4,1.5,0.6,2.1,6.5
