地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,8.8,2.8,0.7,3.2,4.4,4.1,0.7,0.2,39.9,27.1,4.6,0.6,2.1,0.2
立川市,Tachikawa,3.5,6.5,2.4,0.6,5,8.2,3.9,0.9,0.7,32.8,28.5,2.5,0.3,3.7,0.4
武蔵野市,Musashino,0.9,7.4,2.3,0.2,5.8,6.1,5.9,0.8,0.7,29,38.7,1.2,0.2,0.7,0.1
三鷹市,Mitaka,1.3,7,3.8,0.2,2.9,2.4,4.3,0.1,0.2,36.2,38.1,1.9,0.4,1.1,0.1
青梅市,Ome,0.9,5.5,4.9,0.3,2.7,4,3.6,0.8,0.4,49.2,16.2,7.6,0.8,2.6,0.5
府中市,Fuchu,1.6,7.5,4.2,0.7,3.2,3.2,3.5,0.3,2,31.8,33.2,6.7,0.3,1.6,0.2
昭島市,Akishima,0.7,4.8,3.4,1.1,4.1,5.2,4.3,1.2,0.7,33.4,28.3,7.6,0.5,4.7,0.1
調布市,Chofu,0.5,8.7,2.1,0.4,2.5,3.4,5,0.2,2.2,29.3,42.1,1.7,0.4,1.5,0.2
町田市,Machida,0.6,7.1,2.7,0.4,1.9,4.2,3.4,0.4,0.5,50.4,25.1,1.4,0.2,1.7,0.2
小金井市,Koganei,0.5,11.7,1.9,0.2,1.2,2.6,4.8,0.2,0.6,39.7,35.2,0.4,0.1,0.8,0.1
小平市,Kodaira,0.6,8.4,2.8,0.3,1.3,2.5,4.6,0.2,0.4,41.4,31.6,4.8,0.3,0.7,0.1
日野市,Hino,0.5,5.9,2.4,0.5,1.6,2.3,3,0.2,0.6,45.1,27.1,7.7,0.2,2.7,0.1
東村山市,Higashimurayama,0.7,5.8,4.4,0.9,1.8,2.5,4.7,0.5,0.4,46.6,25.6,2.7,0.5,2.6,0.3
国分寺市,Kokubunji,0.4,7.1,1.9,0.2,1.9,3.9,5.3,0.4,0.3,46.7,30.2,0.4,0.2,0.9,0.2
国立市,Kunitachi,0.5,11.5,1.8,1.9,2.4,2.4,6.6,0.4,0.5,33.5,34.3,0.5,0.4,3.1,0.1
福生市,Fussa,1.2,4.8,2.8,0.1,2,4.8,6.2,1.1,0.7,38.4,33.3,2.4,0.5,1.5,0.2
狛江市,Komae,0.6,4.5,3.1,0.1,1.2,2,4.5,0,0.5,41.4,40.1,0.6,0.4,0.9,0.2
東大和市,Higashiyamato,0.4,5.1,3,0.3,1.7,4.4,4.4,0.4,0.4,41.2,32.3,3.7,0.3,2,0.4
清瀬市,Kiyose,0.9,9.8,7.6,2,0.9,1.3,4.9,0.2,0.4,37.6,31,1,0.3,0.7,1.4
東久留米市,Higashikurume,0.6,5.2,2.1,0.6,1.5,5.4,4.2,0.2,0.5,42.3,31.4,3.5,0.4,1.4,0.8
武蔵村山市,Musashimurayama,0.4,6.3,3.2,0.1,1.3,5.3,3.5,0.8,0.4,47.3,16.5,8.6,0.6,5.6,0.2
多摩市,Tama,0.4,7.9,3,0.9,7.8,5.2,2.5,0.8,0.5,24,44.2,0.7,0.1,1.9,0.1
稲城市,Inagi,0.6,5.9,2.6,2.3,2.6,4.5,4.7,0.1,0.5,30.3,40.9,2.7,0.3,1.8,0.3
羽村市,Hamura,0.7,4.2,2.7,1.1,2.3,2.8,3.2,0.4,0.4,34.8,20,22.6,0.2,4.1,0.5
あきる野市,Akiruno,1,6.3,3,0.4,1.5,3.3,4.1,0.9,1.5,62.1,7.9,5.1,0.5,1.1,1.2
西東京市,Nishitokyo,0.5,5,2.7,0.3,1.9,2.8,4.8,0.3,0.4,38.5,39.8,1.4,0.3,1.1,0.2
瑞穂町,Mizuho,0.4,3,1.9,0.8,1.8,6.3,2.5,2,0.5,36.1,8.1,20.4,1.4,12.2,2.6
日の出町,Hinode,0.9,4.3,8.7,1.4,3,3.1,1.6,0.3,0.1,54.4,3.7,12,0.4,3.2,3
