地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
八王子市,Hachioji,8.2,31.9
立川市,Tachikawa,16.4,33.9
武蔵野市,Musashino,25.6,37.6
三鷹市,Mitaka,23.8,37.7
青梅市,Ome,4.6,32.4
府中市,Fuchu,18.5,33.6
昭島市,Akishima,16,32.4
調布市,Chofu,20.6,37.8
町田市,Machida,16,35.5
小金井市,Koganei,24.6,39
小平市,Kodaira,23.1,37.8
日野市,Hino,16.5,35.8
東村山市,Higashimurayama,22.5,39.7
国分寺市,Kokubunji,26.1,42.7
国立市,Kunitachi,20.5,33.1
福生市,Fussa,15,40.1
狛江市,Komae,27.3,46.5
東大和市,Higashiyamato,15.5,37
清瀬市,Kiyose,17.6,35.2
東久留米市,Higashikurume,23.1,41.4
武蔵村山市,Musashimurayama,15.8,36.9
多摩市,Tama,10.2,23.4
稲城市,Inagi,9.3,30.3
羽村市,Hamura,16.5,28.9
あきる野市,Akiruno,5.1,37.8
西東京市,Nishitokyo,27.8,45.7
瑞穂町,Mizuho,9.2,29
日の出町,Hinode,3.3,27.6
