区分,平成24年(2012)不燃化率（建築面積ベース）構成比(%),平成29年(2017)不燃化率（建築面積ベース）構成比(%)
BP-1／官公庁施設,92.1,92.8
BP-2／教育文化施設,86.4,86.7
BP-3／厚生医療施設,91.9,92.6
BP-4／供給処理施設,96.6,97
BC-1／事務所建築物,88.6,89.2
BC-2／専用商業施設,90.8,91.7
BC-3／住商併用施設,47.4,48.5
BC-4／宿泊・遊興施設,81,82.9
BC-5／スポーツ・興行施設,93.6,94
BR-1／独立住宅,12.4,14.7
BR-2／集合住宅,77.6,78.9
BI-1／専用工場,88.7,89.4
BI-2／住居併用工場,39.3,41.2
BI-3／倉庫運輸関係施設,84.6,86
BA／農林漁業施設,30.6,31.4
