地域,Area,平成24年(2012)不燃化率（延べ面積ベース）構成比(%),平成29年(2017)不燃化率（延べ面積ベース）構成比(%)
八王子市,Hachioji,56.4,57.2
立川市,Tachikawa,67.7,69.6
武蔵野市,Musashino,67.2,68.4
三鷹市,Mitaka,57.8,59
青梅市,Ome,46.3,45.2
府中市,Fuchu,63.1,67
昭島市,Akishima,70.9,71.1
調布市,Chofu,64.6,65.9
町田市,Machida,53.8,55.5
小金井市,Koganei,50.7,53.7
小平市,Kodaira,62.1,65.7
日野市,Hino,52.1,54.2
東村山市,Higashimurayama,58.9,63.3
国分寺市,Kokubunji,51.1,57
国立市,Kunitachi,61.1,63.8
福生市,Fussa,55.5,55.7
狛江市,Komae,47,49.5
東大和市,Higashiyamato,59,63.4
清瀬市,Kiyose,56.3,55.4
東久留米市,Higashikurume,53.1,53.6
武蔵村山市,Musashimurayama,52.2,51
多摩市,Tama,79.2,78.2
稲城市,Inagi,65.4,69.8
羽村市,Hamura,65.3,66.5
あきる野市,Akiruno,31.1,31.3
西東京市,Nishitokyo,56.4,56.6
瑞穂町,Mizuho,59.4,59.6
日の出町,Hinode,37.4,39.6
