地域,Area,建ぺい率グロスGross(%),建ぺい率ネットNet(%),,,,,
大島町,Oshima,1.1,21.4,,,,,
利島村,Toshima,0.9,25.7,,,,,
新島村,Niijima,1.4,31,,,,,
神津島村,Kozushima,0.9,34.2,,,,,
三宅村,Miyake,0.7,26.1,,,,,
御蔵島村,Mikurajima,0.1,26.9,,,,,
八丈町,Hachijo,1.3,26.7,,,,,
青ヶ島村,Aogashima,0.4,20,,,,,
小笠原村,Ogasawara,0.3,24.5,,,,,
