区分,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（H29）,All area(2017),33072.2,271.8,245.3,45.6,27.5,24.8,244.4,237.2,251.9,550.5,31358,97.9
全域（H24）,All area(2012),33072.2,274.1,208.7,39.7,27,21.2,241.3,233.9,253.7,550.7,31396.8,98.8
檜原村,Hinohara,10537.9,98.6,51.2,14.3,4.8,7.9,90.2,90.2,154.7,50.7,10015.5,64.3
奥多摩町,Okutama,22534.3,173.2,194.1,31.3,22.7,17,154.3,147,97.2,499.8,21342.4,33.6
