地域,Area,平成24年グロスGross建ぺい率(%),平成24年ネットNet建ぺい率(%)
西多摩,W-Tama,2.8,36.1
南多摩,S-Tama,11.8,37
北多摩西部,NW-Tama,18.9,39.5
北多摩南部,NS-Tama,24.8,42.7
北多摩北部,NN-Tama,22.1,39.3
