区分,BP／企業構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H24(2012),16.4,13.2,62.6,6.7,1.1
H29(2017),17.7,12.9,61.9,6.3,1.1
