区分,平成30,令和元,2,3,4
総数（件）,92,94,114,98,81
総数（％）,100,100,100,100,100
有（件）,71,69,85,78,58
有（％）,77.2,73.4,74.6,79.6,71.6
無（件）,21,25,29,20,23
無（％）,22.8,26.6,25.4,20.4,28.4
