区分,平成30,令和元,2,3,4
総数（件）,26,19,19,32,32
総数（％）,100,100,100,100,100
提示あり（件）,0,0,1,0,0
提示あり（％）,0,0,5.3,0,0
提示なし（件）,26,19,18,32,32
提示なし（％）,100,100,94.7,100,100
