区分１,区分２,平成27,28,29,30,令和元
総数（件）,,88,71,74,71,69
総数（％）,,100,100,100,100,100
連合（件）,,52,51,49,45,44
連合（％）,,59.1,71.8,66.2,63.4,63.8
連合,ＪＡＭ（件）,1,- ,- ,- ,2
連合,ＪＥＣ連合（件）,- ,- ,- ,- ,- 
連合,UAゼンセン（件）,- ,1,- ,1,2
連合,政労連（件）,- ,- ,- ,- ,- 
連合,全水道（件）,- ,- ,1,1,- 
連合,情報労連（件）,- ,- ,1,- ,1
連合,連合ユニオン（件）,11,12,8,6,5
連合,全国ユニオン（件）,39,33,35,34,32
連合,その他（件）,1,5,4,3,2
全労連（件）,,11,12,8,17,15
全労連（％）,,12.5,16.9,10.8,23.9,21.7
全労連,日本医労連（件）,- ,2,2,- ,1
全労連,建交労（件）,1,1,2,1,1
全労連,全国一般（件）,4,3,- ,9,5
全労連,全印総連（件）,- ,1,- ,- ,- 
全労連,私教連（件）,1,- ,- ,2,1
全労連,ＪＭＩＴＵ（件）,2,2,2,1,2
全労連,自交総連（件）,- ,1,- ,- ,1
全労連,全労連自治労連（件）,3,1,2,1,2
全労連,その他（件）,-,1,- ,3,2
上記以外（件）,,25,8,17,9,10
上記以外（％）,,28.4,11.3,23,12.7,14.5
全労協,全国一般東京労組（件）,5,1,9,3,2
全労協,国鉄労組（件）,- ,- ,- ,- ,- 
全労協,その他（件）,14,4,4,4,7
出版労連（件）,,3,2,- ,1,1
航空連（件）,,- ,- ,1,1,- 
全損保（件）,,- ,- ,1,- ,- 
外銀連（件）,,- ,- ,- ,- ,- 
電算労（件）,,- ,- ,- ,- ,- 
その他（件）,,3,1,2,- ,- 
