区分,平成30,令和元,2,3,4
総数（件）,60,48,56,83,50
総数（％）,100,100,100,100,100
有（件）,8,7,5,9,5
有（％）,13.3,14.6,8.9,10.8,10
無（件）,52,41,51,74,45
無（％）,86.7,85.4,91.1,89.2,90
