区分１,区分２,平成30,令和元,2,3,4
総数（件）,,97,95,116,99,83
総数（％）,,100,100,100,100,100
都内,23区（件）,64,55,87,70,58
都内,23区（％）,66,57.9,75,70.7,69.9
都内,市・町・村（件）,9,13,6,6,8
都内,市・町・村（％）,9.3,13.7,5.2,6.1,9.6
都外（件）,,24,27,23,23,17
都外（％）,,24.7,28.4,19.8,23.2,20.5
