区分,平成 30,令和元,2,3,4
総数件数（件）,62,53,61,67,61
総数平均日数（日）,107,96.5,114.4,89.6,113.1
解決件数（件）,26,19,19,32,32
解決平均日数（日）,107.5,142.6,138.4,76.9,150.3
取下件数（件）,8,7,6,7,5
取下平均日数（日）,294,145.1,208.2,124,64.2
打切件数（件）,28,27,36,27,23
打切平均日数（日）,53.1,51.5,86.1,95.6,71.8
不調件数（件）,-,-,-,-,-
不調平均日数（日）,-,-,-,-,-
裁定件数（件）,-,-,-,-,-
裁定平均日数（日）,-,-,-,-,-
